query_2026_seniority,nn_2024_seniority,pct_embedding,pct_tfidf,n_query
junior,junior,15.9,16.5,2000
junior,mid,17.5,16.2,2000
junior,senior,66.6,67.3,2000
mid,junior,11.1,12.1,622
mid,mid,23.6,24.3,622
mid,senior,65.2,63.5,622
senior,junior,10.2,9.9,2000
senior,mid,14.8,13.9,2000
senior,senior,75.0,76.3,2000
