seniority,uid,distance_to_centroid,company,text_preview
junior,linkedin_li-4380810880,0.623,Bruker Daltonics,Bruker enabling scientists make breakthrough discoveries develop new applications improve quality human life. Bruker’ high-performance scientific instruments high-value analytical diagnostic solutions
junior,linkedin_li-4389882383,0.6243,Jobs via Dice,"Strong expertise Swift iOS SDKs Deep understanding UIKit andor SwiftUI Modern architecture patterns (MVVM, Clean Architecture) Understanding frameworks (XCTest, XCUITest), REST APIs, JSON"
junior,linkedin_li-4389788933,0.6412,Aditi Consulting,**Payrate:** $55\.00 - $60\.00/hr. **Summary:** role’ main responsibility triage diagnose DirectX 12 game performance issues collecting GPU/CPU traces comparing performance differences Windows Linux g
junior,linkedin_li-4356164535,0.7225,iHeartMedia,"Current employees contingent workers click ** apply search Job Posting Title.** audio revolution – iHeart leading ! , ** number one audio company America** , reaches 90% Americans every month -- month"
junior,linkedin_li-4393358142,0.724,Greystar,"Leasing Consultant - Cornerstone Hauppauge R0181487 Cornerstone Hauppauge Hauppauge, New York"
mid,linkedin_li-4382190686,0.5334,"Tyndale Company, Inc.","Tyndale Company seeking **Machine Learning Engineer** join growing AI organization. role play critical part mission harness data advanced AI Machine Learning applications. collaborate data scientists,"
mid,linkedin_li-4353086397,0.5346,Marvell Technology,"** Marvell** Marvell’ semiconductor solutions essential building blocks data infrastructure connects world. Across enterprise, cloud AI, carrier architectures, innovative technology enabling new possi"
mid,linkedin_li-4380500569,0.5358,NBCUniversal,"impact rooted improving communities employees, customers, audiences live work. rich tradition giving back ensuring employees opportunity serve communities. champion inclusive culture strive attract de"
mid,linkedin_li-4388389012,0.5709,Belcan,"Job Title: Test Engineer Pay Rate: $50 - $60/hr. Location: Chandler, AZ Zip Code: 85226 Start Date: Right Away Keywords: #ChandlerJobs; #TestEngineerJobs; Responsible writing test procedures/reports S"
mid,linkedin_li-4341067582,0.611,Mark Anthony Brewing Inc,"Mark Anthony Group entrepreneurial drinks company, built ground thinking differently, innovating unexpected. company rooted family values, bold vision relentless determination continuously raise bar m"
senior,linkedin_li-4308521236,0.6113,GenScript,"** ** Biotech Corporation (Stock Code: 1548\.HK) global biotechnology group. Founded 2002, established global presence across North America, Europe, Greater China, Asia Pacific. ' businesses encompass"
senior,linkedin_li-4358925618,0.6298,Odyssey,** :** K-12 education one consequential determinants child’ future — many families limited ability shape child learns. Education Savings Account (ESA) programs changing . One fastest-growing public ed
senior,linkedin_li-4390715155,0.6351,Skybeyo,"Client : Infosys End Client : \& Location : Bothell , WA ( Local Candidates) Final Round F2F Job Role : Android Developer"
senior,linkedin_li-4317702049,0.6646,ZOLL Cardiac Management Solutions,"CMS ZOLL, ' passionate improving patient outcomes helping save lives. provide innovative technologies make meaningful difference people' lives. medical devices, software related services used worldwid"
senior,linkedin_li-4391760072,0.6879,LeafLink,"**** **** largest unified B2B cannabis platform, providing licensed cannabis businesses suite tools manage business effectively, sell order favorite brands accelerate growth. one platform, one solutio"
