finding,metric,embedding_direction,embedding_value,tfidf_direction,tfidf_value,agrees
junior-senior centroid similarity,centroid cosine sim,increasing,0.9779 -> 0.9884,increasing,0.9416 -> 0.9504,True
junior-mid centroid similarity,centroid cosine sim,increasing,0.9757 -> 0.9899,decreasing,0.9442 -> 0.9377,False
mid-senior centroid similarity,centroid cosine sim,increasing,0.9879 -> 0.9923,increasing,0.9389 -> 0.9676,True
junior within-group dispersion,avg pairwise sim,more dispersed,0.5148 -> 0.4951,more dispersed,0.3150 -> 0.2741,True
mid within-group dispersion,avg pairwise sim,more homogeneous,0.4936 -> 0.5122,more homogeneous,0.2591 -> 0.2921,True
senior within-group dispersion,avg pairwise sim,more dispersed,0.5185 -> 0.5119,more homogeneous,0.3014 -> 0.3432,False
junior 2026 NN same-seniority rate,% NN same seniority,15.9%,n=2000,16.5%,n=2000,True
mid 2026 NN same-seniority rate,% NN same seniority,23.6%,n=622,24.3%,n=622,True
senior 2026 NN same-seniority rate,% NN same seniority,75.0%,n=2000,76.3%,n=2000,True
