period,seniority,n,avg_dist_centroid_emb,avg_pairwise_sim_emb,avg_dist_centroid_tfidf,avg_pairwise_sim_tfidf
2024-01,junior,130,0.2779,0.5148,0.4317,0.315
2024-01,mid,1450,0.2992,0.4936,0.493,0.2591
2024-01,senior,2000,0.2767,0.5185,0.4541,0.3014
2024-04,junior,830,0.2879,0.5063,0.4582,0.2939
2024-04,mid,228,0.2894,0.5002,0.4542,0.2998
2024-04,senior,2000,0.2716,0.5323,0.4671,0.2945
2026-03,junior,2000,0.2983,0.4951,0.4754,0.2741
2026-03,mid,622,0.2843,0.5122,0.4617,0.2921
2026-03,senior,2000,0.2835,0.5119,0.4062,0.3432
