specification,period,jr_sr_sim
base,2024-01,0.9779000282287598
base,2024-04,0.9925000071525574
base,2026-03,0.9883999824523926
no_aggregator,2024-01,0.9782000184059143
no_aggregator,2024-04,0.9898999929428101
no_aggregator,2026-03,0.9889000058174133
high_conf_seniority,2024-01,0.9779000282287598
high_conf_seniority,2024-04,0.9922999739646912
high_conf_seniority,2026-03,0.9879999756813049
llm_text_only,2024-01,0.9768000245094299
llm_text_only,2024-04,0.9923999905586243
