period,seniority,n,median,mean,q25,q75,p95,pct_0,pct_ge10
2024,J3,1667,4.0,4.869826034793041,1.0,8.0,13.0,0.20575884823035392,0.14937012597480503
2026,J3,2911,6.0,6.51391274476125,3.0,9.0,16.0,0.07076605977327378,0.23668842322226039
2024,S4,12894,5.0,5.763068093686986,2.0,9.0,15.0,0.12525205521948193,0.21955948503179773
2026,S4,12959,7.0,7.957172621344239,4.0,11.0,18.0,0.05085268925071379,0.3567404892352805
2024,all_swe,22820,4.0,5.405521472392638,2.0,8.0,14.0,0.14303242769500438,0.19430324276950045
2026,all_swe,45317,7.0,7.46494692940839,3.0,11.0,17.0,0.05896242028377872,0.31555486903369595
