source,period,n,technology,rate
kaggle_arshkon,2024,4691,tensorflow,0.01918567469622682
kaggle_arshkon,2024,4691,pytorch,0.019825197186101044
kaggle_arshkon,2024,4691,scikit_learn,0.007674269878490727
kaggle_arshkon,2024,4691,pandas,0.008526966531656363
kaggle_arshkon,2024,4691,numpy,0.007461095715199318
kaggle_arshkon,2024,4691,jupyter,0.0023449157962055
kaggle_arshkon,2024,4691,mlflow,0.002131741632914091
kaggle_arshkon,2024,4691,xgboost,0.0008526966531656363
kaggle_arshkon,2024,4691,keras,0.002558089959496909
kaggle_arshkon,2024,4691,langchain,0.002131741632914091
kaggle_arshkon,2024,4691,llamaindex,0.00042634832658281814
kaggle_arshkon,2024,4691,rag,0.0038371349392453636
kaggle_arshkon,2024,4691,vector_database,0.0012790449797484545
kaggle_arshkon,2024,4691,pinecone,0.00021317416329140907
kaggle_arshkon,2024,4691,weaviate,0.00021317416329140907
kaggle_arshkon,2024,4691,chroma,0.00042634832658281814
kaggle_arshkon,2024,4691,hugging_face,0.0006395224898742272
kaggle_arshkon,2024,4691,openai_api,0.00021317416329140907
kaggle_arshkon,2024,4691,claude_api,0.0
kaggle_arshkon,2024,4691,anthropic,0.0008526966531656363
kaggle_arshkon,2024,4691,gemini,0.00042634832658281814
kaggle_arshkon,2024,4691,prompt_engineering,0.002984438286079727
kaggle_arshkon,2024,4691,fine_tuning,0.010871882327861864
kaggle_arshkon,2024,4691,mcp,0.0006395224898742272
kaggle_arshkon,2024,4691,llm,0.017267107226604135
kaggle_arshkon,2024,4691,ai_agent,0.0017053933063312726
kaggle_arshkon,2024,4691,copilot,0.0014922191430398635
kaggle_arshkon,2024,4691,cursor_tool,0.0
kaggle_arshkon,2024,4691,chatgpt,0.0010658708164570454
kaggle_arshkon,2024,4691,claude_tool,0.0
kaggle_arshkon,2024,4691,codex,0.0
kaggle_arshkon,2024,4691,tabnine,0.0
kaggle_arshkon,2024,4691,gpt_model,0.00042634832658281814
kaggle_asaniczka,2024,18129,tensorflow,0.015003585415632412
