skill,n_entry_has,n_senior_has,share_entry,share_senior,diff_senior_minus_entry,chi2,p_value,p_fdr
aws,152,2211,0.12479474548440066,0.20764462809917356,0.0828498826147729,46.5232133755906,9.053949770850597e-12,1.349038515856739e-09
agile,129,1596,0.10591133004926108,0.14988730277986476,0.04397597273060368,16.660873161973825,4.469338352829163e-05,0.0011098856909525757
java,285,2927,0.23399014778325122,0.2748873027798648,0.04089715499661356,9.054049339002658,0.002621136547664051,0.017831363729115705
devops,106,1331,0.08702791461412152,0.125,0.037972085385878485,14.451779396335397,0.00014379394235328492,0.0023805886011821612
azure,73,996,0.05993431855500821,0.09353869271224644,0.03360437415723822,14.649571194426766,0.0001294640946847024,0.0023805886011821612
docker,117,1344,0.0960591133004926,0.12622088655146507,0.030161773250972468,8.93236014472417,0.0028016209249794436,0.01814963120964944
kubernetes,129,1445,0.10591133004926108,0.13570623591284747,0.029794905863586393,8.176352148069384,0.004244002120852482,0.020398590838936123
typescript,61,850,0.05008210180623974,0.07982719759579264,0.0297450957895529,13.226878438680384,0.0002759630185469246,0.0031632032861790547
mentoring,23,514,0.018883415435139574,0.04827197595792637,0.029388560522786798,21.173055431068796,4.196226427834956e-06,0.00012504754754948168
git,140,1534,0.11494252873563218,0.14406461307287755,0.029122084337245363,7.41134665273173,0.006481379120439642,0.029264408755924443
jira,81,1016,0.0665024630541872,0.09541697971450037,0.02891451666031318,10.549149278715143,0.0011624157695625,0.009622219425822916
systems engineering,95,1119,0.07799671592775041,0.1050901577761082,0.027093441848357783,8.443199447197584,0.0036641103627467783,0.01882594634652655
sql,229,2265,0.18801313628899835,0.2127160030052592,0.024702866716260846,3.8703449240761665,0.0491464202925296,0.14225318055463101
jenkins,75,916,0.06157635467980296,0.08602554470323065,0.024449190023427693,8.219391394785507,0.0041445097617914175,0.020398590838936123
software design,37,583,0.030377668308702793,0.05475206611570248,0.024374397806999685,12.625274492363516,0.000380565994436977,0.0037802888780739717
node.js,31,523,0.025451559934318555,0.049117205108940645,0.02366564517462209,13.226734719825698,0.00027598417933105847,0.0031632032861790547
software architecture,25,458,0.020525451559934318,0.043012772351615325,0.022487320791681007,13.584356458788202,0.00022807829608574798,0.0031632032861790547
go,43,614,0.035303776683087026,0.05766341096919609,0.022359634286109063,10.02447532032514,0.0015447367338957923,0.011508288667523653
agile practices,5,273,0.004105090311986864,0.02563861758076634,0.021533527268779475,21.21999555710524,4.0947030814641135e-06,0.00012504754754948168
open source frameworks,4,264,0.003284072249589491,0.024793388429752067,0.021509316180162576,,,
javascript,189,1873,0.15517241379310345,0.1759015777610819,0.020729163967978442,3.1282968422896333,0.07694408671034832,0.1976667055145155
u.s. citizenship,21,404,0.017241379310344827,0.03794139744552968,0.02070001813518485,12.968725060805188,0.0003167376366252453,0.003370993418368682
leadership,56,686,0.04597701149425287,0.0644252441773103,0.018448232683057425,6.034678280715289,0.014027507117131107,0.050978013669574024
microservices,68,784,0.05582922824302135,0.07362885048835462,0.01779962224533327,4.932205770220153,0.02636064913272903,0.08842542470014532
cloud computing,93,1000,0.07635467980295567,0.09391435011269722,0.01755967030974155,3.8226718924909506,0.05056354645821554,0.14225318055463101
json,26,412,0.021346469622331693,0.038692712246431255,0.01734624262409956,8.769436853620656,0.0030632001072518848,0.01882594634652655
postgresql,25,399,0.020525451559934318,0.03747182569496619,0.01694637413503187,8.624534438812278,0.003316651958228519,0.01882594634652655
web services,11,276,0.0090311986863711,0.025920360631104433,0.016889161944733333,12.503496973361777,0.00040619099601669556,0.0037826536504054777
scala,38,509,0.031198686371100164,0.047802404207362884,0.01660371783626272,6.47989131066694,0.010910165491990564,0.04393553130558362
