method,config,n_topics,seed_stability_ari,coherence_cv,noise_pct,topic_id,topic_name,top_terms
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,0,Backend/API,requirements | including | maintain | qualifications | bachelor | cicd | expertise | familiarity | andor | backend
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,1,AI/LLM workflows,workflows | including | aiml | familiarity | algorithms | qualifications | llms | handson | generative | backend
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,2,Mobile/iOS,ios | flutter | backend | user | including | kotlin | objectivec | closely | swiftui | xcode
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,3,Mobile/iOS,kotlin | compose | sdks | backend | user | mvvm | coroutines | crossfunctional | proficiency kotlin | multiplatform
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,4,Other / Mixed, |  |  |  |  |  |  |  |  | 
BERTopic_mts20,min_topic_size=20,6,0.5107918368428033,0.48825484808111047,0.0,5,Other / Mixed,mainframe | cics | cobol | db2 | vsam | zos | invoicing | cics cics | cobol db2 | competent
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,0,Backend/API,requirements | including | maintain | qualifications | bachelor | cicd | expertise | familiarity | backend | andor
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,1,AI/LLM workflows,workflows | aiml | including | generative | llms | familiarity | llm | handson | backend | qualifications
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,2,Mobile/iOS,ios | flutter | user | backend | including | kotlin | objectivec | swiftui | xcode | qualifications
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,3,Mobile/iOS,kotlin | compose | sdks | backend | user | mvvm | proficiency kotlin | coroutines | crossfunctional | closely
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,4,Requirements / Boilerplate,recommendation | algorithms | ranking | qualifications | largescale | recommendations | users | algorithm | improve | retrieval
BERTopic_mts30,min_topic_size=30,6,0.49050814989453656,0.4667906666280233,0.016481481481481482,5,Other / Mixed, |  |  |  |  |  |  |  |  | 
BERTopic_mts50,min_topic_size=50,3,0.5061913740365777,0.4099096533162226,0.0077777777777777776,0,Frontend/Web,backend | improve | kubernetes | javascript | databases | effectively | tasks | understand | capabilities | microservices
BERTopic_mts50,min_topic_size=50,3,0.5061913740365777,0.4099096533162226,0.0077777777777777776,1,AI/LLM workflows,llms | generative | llm | backend | improve | capabilities | pytorch | largescale | inference | tensorflow
BERTopic_mts50,min_topic_size=50,3,0.5061913740365777,0.4099096533162226,0.0077777777777777776,2,Mobile/iOS,ios | kotlin | backend | flutter | users | maintainable | objectivec | mvvm | improve | swiftui
