year_period,source,seniority_3level,text_source,n,companies,aggregators
2024,kaggle_arshkon,senior,raw,5,5,0
2024,kaggle_arshkon,unknown,raw,6,5,0
2024,kaggle_asaniczka,junior,raw,6,6,1
2024,kaggle_asaniczka,senior,raw,1341,808,142
2024,kaggle_asaniczka,unknown,raw,734,441,70
2026,scraped,junior,raw,558,413,61
2026,scraped,senior,raw,813,677,67
2026,scraped,unknown,raw,1129,933,181
