profile,pattern,period,uid,seniority_final,snippet
people_mgmt,people_manager,2024,asaniczka_700d34f9ae67b21a,mid-senior," AWS cloud infrastructure Develop tooling processes benefit growing team Though people manager role, mentor junior engineers technical skills Define promote software engineer"
people_mgmt,people_manager,2024,asaniczka_c11b279fb352e3da,mid-senior,"product quality, robustness sized scale top priorities. Prioritize really great people manager. Building, motivating, rewarding coaching diverse team Software Development Eng"
people_mgmt,people_manager,2024,asaniczka_15c3898bf489ccc4,mid-senior,"high quality software part DevOps process, accountability business operations. ""People Manager"", senior leader role provide technical oversight direction software development"
people_mgmt,people_management,2024,arshkon_3905603987,mid-senior," Azure, another cloud service4+ years experience open source frameworks1+ years people management experience2+ years experience Agile practices"
people_mgmt,people_management,2024,asaniczka_4f53bdf5e5bc05a8,director,s Degree least 9 years experience software development least 7 years experience people management least 5 years experience AWS least 3 years experience Site Reliability Engineer
people_mgmt,people_management,2024,asaniczka_1cf57bdc5b1c4316,mid-senior,"zure, another cloud service 4+ years experience open source frameworks 1+ years people management experience 2+ years experience Agile practices"
people_mgmt,people_management,2024,asaniczka_e8af125e36c18ec8,mid-senior,"gn patterns 4+ years experience AWS, GCP, Azure, another cloud service 3+ years people management experience"
people_mgmt,people_management,2024,asaniczka_7862a0a98a900c91,mid-senior,"lar, Node, TypeScript, Java 4+ years experience open source frameworks 1+ years people management experience 2+ years experience Agile practices time, sponsor new applicant empl"
people_mgmt,people_management,2024,asaniczka_3d3fe94762e16636,mid-senior,"r experience cloud computing (AWS, Microsoft Azure, Google Cloud) least 2 years people management experience Preferred Qualifications: | Master's Degree 7+ years experience leas"
people_mgmt,people_management,2024,asaniczka_b05c3698835d996d,mid-senior,"zure, another cloud service 4+ years experience open source frameworks 1+ years people management experience 2+ years experience Agile practices time, sponsor new applicant empl"
people_mgmt,people_management,2024,asaniczka_c103f9d6a069009f,mid-senior,"zure, another cloud service 4+ years experience open source frameworks 1+ years people management experience 2+ years experience Agile practices"
