profile,term,period,n_postings,postings_with_match,postings_with_match_pct,total_matches,per_1k_chars
people_mgmt,people_manager,2024,24579,3,0.00012205541315757354,3,6.252807119596253e-05
people_mgmt,people_management,2024,24579,608,0.024736563733268237,687,0.014318928303875421
people_mgmt,direct_reports,2024,24579,96,0.0039057732210423532,116,0.002417752086243885
people_mgmt,performance_review,2024,24579,27,0.0010984987184181618,27,0.0005627526407636629
people_mgmt,headcount,2024,24579,4,0.00016274055087676473,4,8.337076159461671e-05
people_mgmt,manage_team_of,2024,24579,0,0.0,0,0.0
people_mgmt,lead_team_of,2024,24579,2,8.137027543838236e-05,2,4.168538079730836e-05
people_mgmt,interview_engineers,2024,24579,0,0.0,0,0.0
people_mgmt,hire_engineers,2024,24579,4,0.00016274055087676473,4,8.337076159461671e-05
people_mgmt,team_building,2024,24579,289,0.011758004800846251,291,0.006065222906008366
people_mgmt,people_manager,2026,27156,18,0.0006628369421122404,20,0.00021880565219198353
people_mgmt,people_management,2026,27156,216,0.007954043305346884,248,0.002713190087180596
people_mgmt,direct_reports,2026,27156,88,0.00324053616143762,103,0.001126849108788715
people_mgmt,performance_review,2026,27156,36,0.0013256738842244808,38,0.00041573073916476873
people_mgmt,headcount,2026,27156,45,0.001657092355280601,47,0.0005141932826511613
people_mgmt,manage_team_of,2026,27156,0,0.0,0,0.0
people_mgmt,lead_team_of,2026,27156,0,0.0,0,0.0
people_mgmt,interview_engineers,2026,27156,33,0.0012152010605391073,33,0.00036102932611677287
people_mgmt,hire_engineers,2026,27156,40,0.0014729709824716454,40,0.00043761130438396706
people_mgmt,team_building,2026,27156,507,0.018669907202828104,516,0.005645185826553175
mentoring,mentor_engineers,2024,24579,1973,0.0802717767199642,2124,0.044269874406741475
mentoring,coach_engineers,2024,24579,189,0.007689491028927133,193,0.004022639246940256
mentoring,mentor_and_develop,2024,24579,0,0.0,0,0.0
mentoring,mentorship,2024,24579,689,0.028032059888522722,806,0.01679920846131527
mentoring,mentor_engineers,2026,27156,4140,0.1524524966858153,4940,0.05404499609141993
mentoring,coach_engineers,2026,27156,283,0.01042126970098689,295,0.003227383369831757
mentoring,mentor_and_develop,2026,27156,0,0.0,0,0.0
mentoring,mentorship,2026,27156,2291,0.08436441302106348,2689,0.029418419937212188
tech_orch,architecture_review,2024,24579,29,0.0011798689938565443,29,0.0006044380215609712
tech_orch,code_review,2024,24579,2723,0.11078563000935758,2999,0.06250722850556388
tech_orch,system_design,2024,24579,1508,0.0613531876805403,1993,0.04153948196451778
tech_orch,technical_direction,2024,24579,393,0.015989259123642133,418,0.008712244586637446
tech_orch,ai_orchestration,2024,24579,0,0.0,0,0.0
tech_orch,agentic,2024,24579,3,0.00012205541315757354,4,8.337076159461671e-05
tech_orch,multi_agent,2024,24579,16,0.0006509622035070589,16,0.00033348304637846685
tech_orch,automation,2024,24579,4586,0.18658204158021074,9255,0.19289909963954444
tech_orch,evaluation,2024,24579,1411,0.05740672932177875,2009,0.04187296501089625
tech_orch,prompt_engineering,2024,24579,51,0.00207494202367875,71,0.0014798310183044467
tech_orch,tool_selection,2024,24579,8,0.00032548110175352945,8,0.00016674152318923343
tech_orch,quality_gate,2024,24579,18,0.0007323324789454412,19,0.0003960111175744294
tech_orch,guardrails,2024,24579,70,0.0028479596403433827,70,0.0014589883279057924
tech_orch,architecture_review,2026,27156,35,0.0012888496096626896,35,0.0003829098913359712
tech_orch,code_review,2026,27156,5438,0.2002504050670202,6289,0.06880343733176923
tech_orch,system_design,2026,27156,2989,0.1100677566651937,3353,0.03668276758998604
tech_orch,technical_direction,2026,27156,1639,0.06035498600677567,1889,0.020666193849532846
tech_orch,ai_orchestration,2026,27156,125,0.0046030343202238914,142,0.0015535201305630832
tech_orch,agentic,2026,27156,2238,0.08241272646928856,4954,0.054198160047954316
tech_orch,multi_agent,2026,27156,557,0.02051112093091766,780,0.008533420435487358
tech_orch,automation,2026,27156,8305,0.30582560023567534,17877,0.1955794322118045
tech_orch,evaluation,2026,27156,2925,0.10771100309323907,4803,0.052546177373904844
tech_orch,prompt_engineering,2026,27156,1046,0.03851819119163352,1435,0.01569930554477482
tech_orch,tool_selection,2026,27156,10,0.00036824274561791134,10,0.00010940282609599176
tech_orch,quality_gate,2026,27156,216,0.007954043305346884,249,0.0027241303697901954
tech_orch,guardrails,2026,27156,760,0.02798644866696126,1014,0.011093446566133565
strategic,stakeholder,2024,24579,3845,0.1564343545302901,5033,0.10490126077642649
strategic,business_impact,2024,24579,217,0.008828674885064485,319,0.006648818237170683
strategic,revenue,2024,24579,226,0.009194841124537207,257,0.005356571432454124
strategic,product_strategy,2024,24579,153,0.006224826071036251,158,0.00329314508298736
strategic,roadmap,2024,24579,1020,0.041498840473575,1146,0.02388572319685769
strategic,prioritization,2024,24579,1432,0.05826111721388177,1511,0.03149330519236647
strategic,resource_allocation,2024,24579,146,0.005940030107001912,147,0.003063875488602164
strategic,cross_functional,2024,24579,3518,0.14313031449611457,4185,0.08722665931836775
strategic,stakeholder,2026,27156,7404,0.27264692885550157,10626,0.11625144300960086
strategic,business_impact,2026,27156,722,0.026587126233613197,754,0.008248973087637779
strategic,revenue,2026,27156,774,0.028501988510826335,1113,0.012176534544483884
strategic,product_strategy,2026,27156,153,0.005634114007954044,161,0.0017613855001454674
strategic,roadmap,2026,27156,1805,0.06646781558403299,2056,0.02249322104533591
strategic,prioritization,2026,27156,1939,0.07140226837531301,2072,0.022668265567089497
strategic,resource_allocation,2026,27156,86,0.0031668876123140373,94,0.0010283865653023226
strategic,cross_functional,2026,27156,7290,0.26844896155545733,9147,0.10007076503000367
