bucket,seniority_final,n_known,mean_yoe,q25,median,q75,share_le2,share_ge5
arshkon,associate,11,2.909090909090909,2.0,2.0,3.75,0.6363636363636364,0.18181818181818182
arshkon,director,13,6.923076923076923,5.0,5.0,10.0,0.15384615384615385,0.8461538461538461
arshkon,entry,65,2.046153846153846,1.0,2.0,2.0,0.7846153846153846,0.06153846153846154
arshkon,mid-senior,1396,6.0479942693409745,4.3,5.0,8.0,0.06303724928366762,0.745702005730659
arshkon,unknown,1426,4.560308555399719,3.0,4.06198347107438,5.055401662049862,0.20196353436185133,0.48597475455820477
asaniczka,associate,16,3.5,2.0,2.5,5.5,0.5,0.25
asaniczka,director,74,8.445945945945946,5.0,8.0,12.0,0.06756756756756757,0.7972972972972973
asaniczka,entry,100,2.58,1.0,2.0,3.0,0.61,0.13
asaniczka,mid-senior,8545,6.183265067290813,4.0,5.0,8.0,0.06986541837331774,0.7338794616734933
asaniczka,unknown,4099,5.034154671871188,3.0,5.0,6.0,0.1607709197365211,0.5320809953647231
scraped_2026,associate,35,2.742857142857143,2.0,2.0,3.0,0.5142857142857142,0.2
scraped_2026,director,210,7.004761904761905,5.0,6.0,10.0,0.05238095238095238,0.8809523809523809
scraped_2026,entry,318,1.9182389937106918,1.0,2.0,2.0,0.8176100628930818,0.06289308176100629
scraped_2026,mid-senior,13129,5.809201005407876,4.0,5.0,7.244671242774566,0.07761444131312362,0.7286922080889634
scraped_2026,unknown,13889,4.375908992728058,2.6495303130746106,4.0,5.0,0.24724602203182375,0.44344445244438047
