bucket,config,n,j2,s1,len_mean,ai_share
arshkon,all_rows,4691,0.04050309102536773,0.44276273715625664,3305.6418674056704,0.15305904924323172
arshkon,excl_spec,4458,0.037909376401973977,0.44818304172274565,3275.0603409600717,0.14782413638402872
arshkon,excl_agg,4261,0.04177423140107956,0.4496597042947665,3358.6421027927718,0.15606665102088713
arshkon,excl_both,4032,0.039186507936507936,0.45610119047619047,3328.49751984127,0.1505456349206349
asaniczka,all_rows,18129,0.012576534833691875,0.6353356500634343,3881.4461911853937,0.1402724915880633
asaniczka,excl_spec,17138,0.012136772085424203,0.6423736725405531,3833.6366553856924,0.13432139106080054
asaniczka,excl_agg,15186,0.013960226524430396,0.6085210061899118,3804.93138416963,0.13709996048992493
asaniczka,excl_both,14200,0.013521126760563381,0.6151408450704225,3742.068309859155,0.12971830985915492
scraped_2026,all_rows,40881,0.03246006702380079,0.43328196472689023,4912.017049485091,0.5008194515789731
scraped_2026,excl_spec,36939,0.02948103630309429,0.4390752321394732,4842.703050975933,0.49032188202171145
scraped_2026,excl_agg,34081,0.03315630409905813,0.45723423608462194,5112.935506587248,0.5165341392564772
scraped_2026,excl_both,30279,0.03018593744839658,0.46675913999801844,5048.760989464646,0.5055979391657585
