bucket,domain,n,j2_share,s1_share
arshkon,backend,303,0.036303630363036306,0.49834983498349833
arshkon,data,371,0.016172506738544475,0.4366576819407008
arshkon,devops,422,0.0071090047393364926,0.4052132701421801
arshkon,frontend,207,0.033816425120772944,0.4251207729468599
arshkon,fullstack,333,0.02702702702702703,0.42342342342342343
arshkon,ml_ai,146,0.08904109589041095,0.4589041095890411
arshkon,mobile,121,0.04132231404958678,0.4297520661157025
arshkon,other,2655,0.050094161958568736,0.44934086629001885
arshkon,qa,130,0.023076923076923078,0.3923076923076923
arshkon,security,3,0.0,0.3333333333333333
asaniczka,backend,1018,0.0019646365422396855,0.7760314341846758
asaniczka,data,1119,0.028596961572832886,0.5978552278820375
asaniczka,devops,877,0.012542759407069556,0.5712656784492588
asaniczka,frontend,605,0.003305785123966942,0.6595041322314049
asaniczka,fullstack,1099,0.01091901728844404,0.6333030027297544
asaniczka,ml_ai,300,0.006666666666666667,0.5866666666666667
asaniczka,mobile,323,0.006191950464396285,0.7027863777089783
asaniczka,other,12047,0.013032290196729477,0.6329376608284221
asaniczka,qa,728,0.01098901098901099,0.5837912087912088
asaniczka,security,13,0.0,0.7692307692307693
scraped_2026,backend,2980,0.019798657718120807,0.5006711409395973
scraped_2026,data,3315,0.02594268476621418,0.436500754147813
scraped_2026,devops,3058,0.022563767168083716,0.38227599738391105
scraped_2026,frontend,1467,0.01772324471710975,0.40286298568507156
scraped_2026,fullstack,3508,0.019954389965792473,0.42132269099201825
scraped_2026,ml_ai,3196,0.05475594493116395,0.4164580725907384
scraped_2026,mobile,1226,0.01957585644371941,0.4102773246329527
scraped_2026,other,20964,0.03734974241556955,0.44709979011639
scraped_2026,qa,1108,0.027978339350180504,0.2806859205776173
scraped_2026,security,59,0.06779661016949153,0.3050847457627119
