bucket,metro_area,n,share
arshkon,San Francisco Bay Area,359,0.12941600576784426
arshkon,Washington DC Metro,250,0.09012256669069935
arshkon,Dallas-Fort Worth Metro,245,0.08832011535688536
arshkon,Seattle Metro,173,0.06236481614996395
arshkon,Chicago Metro,152,0.0547945205479452
arshkon,Atlanta Metro,139,0.050108147080028836
arshkon,Boston Metro,132,0.047584715212689255
arshkon,Los Angeles Metro,121,0.043619322278298484
arshkon,Austin Metro,95,0.03424657534246575
arshkon,Denver Metro,80,0.02883922134102379
arshkon,Philadelphia Metro,80,0.02883922134102379
arshkon,Charlotte Metro,75,0.027036770007209804
arshkon,Phoenix Metro,75,0.027036770007209804
arshkon,Detroit Metro,67,0.024152847873107425
arshkon,Houston Metro,65,0.02343186733958183
asaniczka,Washington DC Metro,1858,0.14420987271033842
asaniczka,San Francisco Bay Area,1371,0.10641105246817759
asaniczka,Los Angeles Metro,887,0.06884507916796026
asaniczka,Boston Metro,727,0.056426575597640485
asaniczka,Dallas-Fort Worth Metro,606,0.047035082272586154
asaniczka,Seattle Metro,589,0.045715616268239674
asaniczka,Chicago Metro,576,0.044706612853151195
asaniczka,Denver Metro,477,0.037022663769015834
asaniczka,Atlanta Metro,442,0.034306116113008385
asaniczka,Philadelphia Metro,417,0.03236572493014592
asaniczka,Salt Lake City Metro,296,0.022974231605091586
asaniczka,Detroit Metro,293,0.022741384663148092
asaniczka,Phoenix Metro,278,0.021577149953430613
asaniczka,Austin Metro,263,0.020412915243713133
asaniczka,Charlotte Metro,230,0.017851598882334677
scraped_2026,San Francisco Bay Area,5012,0.16400523560209423
scraped_2026,Washington DC Metro,3036,0.0993455497382199
scraped_2026,Seattle Metro,2201,0.07202225130890053
scraped_2026,Dallas-Fort Worth Metro,2058,0.06734293193717278
scraped_2026,New York City Metro,2043,0.0668520942408377
scraped_2026,Salt Lake City Metro,1724,0.056413612565445026
scraped_2026,Los Angeles Metro,1660,0.05431937172774869
scraped_2026,Boston Metro,1541,0.05042539267015707
scraped_2026,Austin Metro,1129,0.03694371727748691
scraped_2026,Atlanta Metro,1087,0.03556937172774869
scraped_2026,Charlotte Metro,1061,0.03471858638743455
scraped_2026,Chicago Metro,1032,0.033769633507853405
scraped_2026,Philadelphia Metro,831,0.02719240837696335
scraped_2026,Denver Metro,741,0.02424738219895288
scraped_2026,Phoenix Metro,706,0.023102094240837697
