company_name_canonical,total_known_kaggle_arshkon,total_known_scraped,junior_kaggle_arshkon,junior_scraped,junior_share_kaggle_arshkon,junior_share_scraped,delta_junior_share_pp,abs_delta_pp
Leidos,16.0,19.0,15.0,4.0,0.9375,0.21052631578947367,-72.69736842105263,72.69736842105263
TEKsystems,21.0,27.0,19.0,5.0,0.9047619047619048,0.18518518518518517,-71.95767195767195,71.95767195767195
Aditi Consulting,7.0,6.0,2.0,6.0,0.2857142857142857,1.0,71.42857142857143,71.42857142857143
General Dynamics Mission Systems,5.0,7.0,5.0,2.0,1.0,0.2857142857142857,-71.42857142857143,71.42857142857143
TikTok,5.0,8.0,1.0,7.0,0.2,0.875,67.5,67.5
Tata Consultancy Services,30.0,10.0,25.0,2.0,0.8333333333333334,0.2,-63.33333333333333,63.33333333333333
"BAE Systems, Inc.",12.0,16.0,8.0,1.0,0.6666666666666666,0.0625,-60.416666666666664,60.416666666666664
Anduril Industries,5.0,30.0,3.0,1.0,0.6,0.03333333333333333,-56.666666666666664,56.666666666666664
Piper Companies,15.0,19.0,12.0,5.0,0.8,0.2631578947368421,-53.6842105263158,53.6842105263158
Actalent,22.0,39.0,18.0,17.0,0.8181818181818182,0.4358974358974359,-38.228438228438236,38.228438228438236
Adobe,9.0,13.0,3.0,0.0,0.3333333333333333,0.0,-33.33333333333333,33.33333333333333
Jobot,10.0,10.0,5.0,2.0,0.5,0.2,-30.0,30.0
CGI,8.0,11.0,8.0,8.0,1.0,0.7272727272727273,-27.27272727272727,27.27272727272727
myGwork - LGBTQ+ Business Community,22.0,10.0,6.0,0.0,0.2727272727272727,0.0,-27.27272727272727,27.27272727272727
Uber,8.0,16.0,0.0,4.0,0.0,0.25,25.0,25.0
Motion Recruitment,36.0,13.0,0.0,3.0,0.0,0.23076923076923078,23.076923076923077,23.076923076923077
Oracle,19.0,16.0,4.0,0.0,0.21052631578947367,0.0,-21.052631578947366,21.052631578947366
Amazon,28.0,30.0,0.0,6.0,0.0,0.2,20.0,20.0
Deloitte,5.0,16.0,1.0,0.0,0.2,0.0,-20.0,20.0
BLUE ORIGIN,7.0,20.0,1.0,0.0,0.14285714285714285,0.0,-14.285714285714285,14.285714285714285
Insight Global,22.0,7.0,2.0,0.0,0.09090909090909091,0.0,-9.090909090909092,9.090909090909092
Talent Groups,13.0,6.0,1.0,1.0,0.07692307692307693,0.16666666666666666,8.974358974358973,8.974358974358973
Akkodis,25.0,8.0,2.0,0.0,0.08,0.0,-8.0,8.0
Capital One,115.0,47.0,11.0,1.0,0.09565217391304348,0.02127659574468085,-7.437557816836263,7.437557816836263
General Motors,10.0,33.0,1.0,1.0,0.1,0.030303030303030304,-6.969696969696971,6.969696969696971
Synechron,15.0,7.0,1.0,0.0,0.06666666666666667,0.0,-6.666666666666667,6.666666666666667
Microsoft,15.0,17.0,0.0,1.0,0.0,0.058823529411764705,5.88235294117647,5.88235294117647
hackajob,10.0,24.0,0.0,1.0,0.0,0.041666666666666664,4.166666666666666,4.166666666666666
Apex Systems,52.0,10.0,19.0,4.0,0.36538461538461536,0.4,3.461538461538466,3.461538461538466
Boeing,7.0,8.0,1.0,1.0,0.14285714285714285,0.125,-1.785714285714285,1.785714285714285
Amazon Web Services (AWS),12.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
JPMorgan Chase & Co.,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Google,13.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
Booz Allen Hamilton,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudflare,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Palo Alto Networks,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Northrop Grumman,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
The Walt Disney Company,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Wells Fargo,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
