source,companies_with_known_seniority,known_postings,junior_postings,raw_junior_share,capped_junior_share_at_10,difference_pp
kaggle_asaniczka,4731,22043,121,0.005489270970376083,0.006736305511148187,0.12470345407721034
kaggle_arshkon,1808,3763,770,0.2046239702365134,0.19637198305529613,-0.825198718121728
scraped,1532,4054,561,0.13838184509126789,0.14608804790000568,0.7706202808737794
