source,period,n,non_null_n,mean,median,p25,p75,share_ge2
kaggle_arshkon,2024-04,773,263,3.6311787072243344,3.0,2.0,5.0,0.2846054333764554
scraped,2026-03,561,71,1.9577464788732395,2.0,1.0,2.0,0.07130124777183601
