scope,left_period,right_period,jsd
overall_raw,2024-01,2026-03,0.04485390208794371
overall_clean,2024-01,2026-03,0.12574612176499222
overall_raw,2024-04,2026-03,0.04088292154014006
overall_clean,2024-04,2026-03,0.14970718804200978
overall_raw,2024-01,2024-04,0.032246178581563534
overall_clean,2024-01,2024-04,0.12649523319209255
seniority_entry_raw,2024-04_entry,2026-03_entry,0.06694474873918121
seniority_entry_clean,2024-04_entry,2026-03_entry,0.21320662212734476
seniority_associate_raw,2024-04_associate,2026-03_associate,0.1193111185374196
seniority_associate_clean,2024-04_associate,2026-03_associate,0.35243054594746326
seniority_mid-senior_raw,2024-04_mid-senior,2026-03_mid-senior,0.04367393938815667
seniority_mid-senior_clean,2024-04_mid-senior,2026-03_mid-senior,0.15896452976597075
seniority_director_raw,2024-04_director,2026-03_director,0.20179066740113427
seniority_director_clean,2024-04_director,2026-03_director,0.5435864548934912
