metric,value
rows_processed,327050
stopwords_n,48635
location_tokens_n,189
candidate_terms_n,465
emergent_terms_n,2
accelerating_terms_n,9
disappearing_terms_n,1
ai_rows_n,29883
yoe_rows_n,1334
entry_gate_arshkon_2024_04,773
entry_gate_scraped_2026_03,561
