source,period,swe_classification_tier,n,share
kaggle_arshkon,2024-04,regex,4158,0.886378170965679
kaggle_arshkon,2024-04,title_lookup_llm,456,0.09720741846088254
kaggle_arshkon,2024-04,embedding_high,77,0.0164144105734385
kaggle_asaniczka,2024-01,regex,15775,0.8701527938661813
kaggle_asaniczka,2024-01,title_lookup_llm,1968,0.10855535330134039
kaggle_asaniczka,2024-01,embedding_high,386,0.02129185283247835
scraped,2026-03,regex,18468,0.9338120038428478
scraped,2026-03,title_lookup_llm,1018,0.05147393436820549
scraped,2026-03,embedding_high,291,0.014714061788946756
scraped,2026-04,regex,19663,0.9317191053828658
scraped,2026-04,title_lookup_llm,1141,0.054065579984837
scraped,2026-04,embedding_high,300,0.014215314632297195
