source,period,group_label,swe_classification_tier,n,share_within_group
kaggle_arshkon,2024-04,control,regex,6934,0.8049686556768052
kaggle_arshkon,2024-04,control,unresolved,1680,0.1950313443231948
kaggle_arshkon,2024-04,other_non_swe,unresolved,94642,0.999820407990788
kaggle_arshkon,2024-04,other_non_swe,title_lookup_llm,16,0.00016902777337601284
kaggle_arshkon,2024-04,other_non_swe,regex,1,1.0564235836000803e-05
kaggle_arshkon,2024-04,swe,regex,4158,0.886378170965679
kaggle_arshkon,2024-04,swe,title_lookup_llm,456,0.09720741846088254
kaggle_arshkon,2024-04,swe,embedding_high,77,0.0164144105734385
kaggle_arshkon,2024-04,swe_adjacent,regex,1124,0.4691151919866444
kaggle_arshkon,2024-04,swe_adjacent,embedding_adjacent,672,0.28046744574290483
kaggle_arshkon,2024-04,swe_adjacent,title_lookup_llm,600,0.25041736227045075
kaggle_asaniczka,2024-01,control,regex,82030,0.7787091445875775
kaggle_asaniczka,2024-01,control,unresolved,23311,0.22129085541242252
kaggle_asaniczka,2024-01,other_non_swe,unresolved,714497,0.9998054953850631
kaggle_asaniczka,2024-01,other_non_swe,title_lookup_llm,128,0.00017911216339507106
kaggle_asaniczka,2024-01,other_non_swe,regex,11,1.5392451541763918e-05
kaggle_asaniczka,2024-01,swe,regex,15775,0.8701527938661813
kaggle_asaniczka,2024-01,swe,title_lookup_llm,1968,0.10855535330134039
kaggle_asaniczka,2024-01,swe,embedding_high,386,0.02129185283247835
kaggle_asaniczka,2024-01,swe_adjacent,regex,3523,0.37399150743099785
kaggle_asaniczka,2024-01,swe_adjacent,embedding_adjacent,3516,0.3732484076433121
kaggle_asaniczka,2024-01,swe_adjacent,title_lookup_llm,2381,0.25276008492569
scraped,2026-03,control,regex,13047,0.6598058056033175
scraped,2026-03,control,unresolved,6727,0.3401941943966825
scraped,2026-03,other_non_swe,unresolved,76620,0.9990481530256998
scraped,2026-03,other_non_swe,title_lookup_llm,72,0.0009388079746521846
scraped,2026-03,other_non_swe,regex,1,1.303899964794701e-05
scraped,2026-03,swe,regex,18468,0.9338120038428478
scraped,2026-03,swe,title_lookup_llm,1018,0.05147393436820549
scraped,2026-03,swe,embedding_high,291,0.014714061788946756
scraped,2026-03,swe_adjacent,regex,2706,0.4838190595387091
scraped,2026-03,swe_adjacent,embedding_adjacent,1913,0.3420346862149115
scraped,2026-03,swe_adjacent,title_lookup_llm,974,0.1741462542463794
scraped,2026-04,control,regex,14179,0.644031613372093
scraped,2026-04,control,unresolved,7837,0.355968386627907
scraped,2026-04,other_non_swe,unresolved,82607,0.9992379339542761
scraped,2026-04,other_non_swe,title_lookup_llm,57,0.0006894883270835853
scraped,2026-04,other_non_swe,regex,6,7.257771864037741e-05
scraped,2026-04,swe,regex,19663,0.9317191053828658
scraped,2026-04,swe,title_lookup_llm,1141,0.054065579984837
scraped,2026-04,swe,embedding_high,300,0.014215314632297195
scraped,2026-04,swe_adjacent,regex,2944,0.49074845807634604
scraped,2026-04,swe_adjacent,embedding_adjacent,2000,0.33338889814969164
scraped,2026-04,swe_adjacent,title_lookup_llm,1055,0.17586264377396232
