source,period,seniority_final_source,n,share
kaggle_arshkon,2024-04,llm,2910,0.6203368151780004
kaggle_arshkon,2024-04,title_keyword,1771,0.3775314431890855
kaggle_arshkon,2024-04,unknown,10,0.002131741632914091
kaggle_asaniczka,2024-01,llm,2345,0.1293507639693309
kaggle_asaniczka,2024-01,title_keyword,10665,0.588283964918087
kaggle_asaniczka,2024-01,unknown,5119,0.28236527111258203
scraped,2026-03,llm,2169,0.10956758941200243
scraped,2026-03,title_keyword,8735,0.4412507577288341
scraped,2026-03,unknown,8892,0.44918165285916345
scraped,2026-04,llm,1026,0.05911500345701775
scraped,2026-04,title_keyword,7597,0.4377160636091265
scraped,2026-04,title_manager,1,5.761696243374049e-05
scraped,2026-04,unknown,8732,0.503111315971422
