subset,n,kappa,accuracy
arshkon_raw,3283,0.1748193940660604,0.44319220225403594
arshkon_canonical,3283,0.18402741337759743,0.44958879074017666
scraped_raw,31481,0.10845638167846927,0.4033544042438296
scraped_canonical,31481,0.13079017284532823,0.4187922874114545
