seniority_native,entry,associate,mid-senior,director,unknown
entry,368,4,168,2,3714
associate,34,6,287,1,941
mid-senior,59,15,12284,126,12568
director,0,0,171,40,43
intern,470,0,3,0,117
executive,0,0,11,16,33
