source,n,mean_yoe,median_yoe,p25_yoe,p75_yoe,share_le2,share_le3
kaggle_arshkon,458,4.179039301310044,3.0,2.0,5.0,0.28602620087336245,0.5065502183406113
scraped,1659,2.363471971066908,2.0,2.0,2.0,0.810126582278481,0.869198312236287
