state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped,total
AK,2.0,10.0,0.0,12.0
AL,18.0,256.0,0.0,274.0
AR,14.0,135.0,0.0,149.0
AZ,92.0,438.0,777.0,1307.0
CA,620.0,3405.0,7536.0,11561.0
CO,87.0,617.0,954.0,1658.0
CT,27.0,450.0,113.0,590.0
DC,34.0,220.0,472.0,726.0
DE,16.0,199.0,222.0,437.0
FL,142.0,951.0,789.0,1882.0
GA,160.0,642.0,1210.0,2012.0
HI,0.0,67.0,0.0,67.0
IA,15.0,234.0,0.0,249.0
ID,13.0,38.0,0.0,51.0
IL,177.0,1023.0,1234.0,2434.0
IN,33.0,366.0,7.0,406.0
KS,20.0,154.0,29.0,203.0
KY,14.0,69.0,0.0,83.0
LA,6.0,71.0,0.0,77.0
MA,127.0,917.0,1749.0,2793.0
MD,77.0,1021.0,1121.0,2219.0
ME,11.0,70.0,0.0,81.0
MI,85.0,618.0,616.0,1319.0
MN,58.0,283.0,587.0,928.0
MO,29.0,312.0,22.0,363.0
MS,6.0,45.0,0.0,51.0
MT,3.0,53.0,0.0,56.0
NC,145.0,598.0,1669.0,2412.0
ND,3.0,7.0,0.0,10.0
NE,11.0,116.0,0.0,127.0
NH,17.0,191.0,194.0,402.0
NJ,150.0,747.0,1223.0,2120.0
NM,11.0,94.0,0.0,105.0
NV,19.0,152.0,0.0,171.0
NY,258.0,1123.0,2561.0,3942.0
OH,112.0,775.0,497.0,1384.0
OK,11.0,106.0,0.0,117.0
OR,13.0,177.0,264.0,454.0
PA,133.0,783.0,939.0,1855.0
RI,10.0,124.0,69.0,203.0
SC,11.0,144.0,31.0,186.0
SD,0.0,31.0,0.0,31.0
TN,24.0,259.0,328.0,611.0
TX,475.0,1551.0,3991.0,6017.0
UT,17.0,336.0,0.0,353.0
VA,292.0,1387.0,1785.0,3464.0
VT,0.0,16.0,0.0,16.0
WA,193.0,745.0,2432.0,3370.0
WI,45.0,418.0,16.0,479.0
WV,6.0,19.0,2.0,27.0
WY,0.0,3.0,0.0,3.0
