state,our_swe,bls_15_1252,bls_combined
AK,12,1050,1050
AL,274,12980,12980
AR,149,5780,5780
AZ,1307,29610,34310
CA,11561,228350,260470
CO,1658,40140,45980
CT,590,20740,24500
DC,726,15670,15670
DE,437,8420,8420
FL,1882,64710,75220
GA,2012,52550,60390
HI,67,2930,2930
IA,249,11800,11800
ID,51,4900,4900
IL,2434,53660,63430
IN,406,20460,23960
KS,203,10910,10910
KY,83,7870,7870
LA,77,7290,7290
MA,2793,50760,57970
MD,2219,40400,45920
ME,81,3370,3370
MI,1319,31690,37040
MN,928,34150,40540
MO,363,23810,28140
MS,51,3710,3710
MT,56,2240,2240
NC,2412,48870,56320
ND,10,2510,2510
NE,127,10650,10650
NH,402,8190,8190
NJ,2120,49350,59570
NM,105,5730,5730
NV,171,7360,7360
NY,3942,86120,100550
OH,1384,43770,51480
OK,117,7000,7000
OR,454,19760,22440
PA,1855,50960,58940
RI,203,5240,5240
SC,186,12590,12590
SD,31,2530,2530
TN,611,18620,21730
TX,6017,143930,167130
UT,353,18990,22030
VA,3464,79220,89270
VT,16,2440,2440
WA,3370,94240,105550
WI,479,19930,23270
WV,27,2870,2870
WY,3,670,670
