date,openings_thousands
2020-01-01,130
2020-02-01,138
2020-03-01,121
2020-04-01,118
2020-05-01,93
2020-06-01,106
2020-07-01,79
2020-08-01,86
2020-09-01,110
2020-10-01,126
2020-11-01,109
2020-12-01,123
2021-01-01,170
2021-02-01,109
2021-03-01,107
2021-04-01,128
2021-05-01,151
2021-06-01,165
2021-07-01,216
2021-08-01,216
2021-09-01,201
2021-10-01,208
2021-11-01,216
2021-12-01,249
2022-01-01,238
2022-02-01,242
2022-03-01,262
2022-04-01,274
2022-05-01,249
2022-06-01,254
2022-07-01,231
2022-08-01,207
2022-09-01,216
2022-10-01,215
2022-11-01,223
2022-12-01,80
2023-01-01,101
2023-02-01,144
2023-03-01,145
2023-04-01,146
2023-05-01,167
2023-06-01,156
2023-07-01,148
2023-08-01,155
2023-09-01,97
2023-10-01,101
2023-11-01,150
2023-12-01,141
2024-01-01,160
2024-02-01,129
2024-03-01,144
2024-04-01,87
2024-05-01,120
2024-06-01,108
2024-07-01,105
2024-08-01,105
2024-09-01,114
2024-10-01,178
2024-11-01,119
2024-12-01,105
2025-01-01,101
2025-02-01,125
2025-03-01,115
2025-04-01,134
2025-05-01,109
2025-06-01,123
2025-07-01,157
2025-08-01,141
2025-09-01,119
2025-10-01,117
2025-11-01,88
2025-12-01,112
