seniority_variable,comparison,n_period1,n_period2,baseline_entry_share,MDE_absolute,MDE_relative_pct
seniority_final,arshkon vs scraped,5019,35062,0.169,0.0158,9.4
seniority_final,pooled_2024 vs scraped,28232,35062,0.0346,0.0041,11.8
seniority_llm (labeled),arshkon vs scraped,3133,3749,0.0268,0.011,40.9
seniority_llm (labeled),pooled_2024 vs scraped,5910,3749,0.0208,0.0084,40.1
seniority_native,arshkon vs scraped,3444,29077,0.2233,0.021,9.4
