period,n_nodes_total,n_nodes_active,n_edges,n_isolates,n_communities_primary,modularity_primary,modularity_mean10,modularity_sd10,modularity_min10,modularity_max10,n_comm_mean10,n_comm_sd10,n_comm_min10,n_comm_max10,mean_comm_size,max_comm_size
2024,135,114,317,21,9,0.6324120718457868,0.6317437148680792,0.0019270352595062864,0.6262687903739484,0.6324120718457868,8.9,0.31622776601683794,8,9,12.666666666666666,22
2026,135,119,393,16,10,0.6618156754589749,0.6616836290901069,0.0005281848116662695,0.6605024745418081,0.662442445223457,10.7,0.6749485577105528,10,12,11.9,25
