occ,period,n,ai_rate,agentic_rate
SWE,2024-01,23213,0.015637789169861714,4.3079309007883516e-05
SWE,2024-04,5019,0.022912930862721656,0.0007969715082685794
SWE,2026-03,24054,0.23372412072836118,0.07749230897148084
SWE,2026-04,11008,0.23355741279069767,0.08621002906976744
SWE_adjacent,2024-01,11068,0.011203469461510662,0.0
SWE_adjacent,2024-04,2475,0.02707070707070707,0.00040404040404040404
SWE_adjacent,2026-03,6663,0.18640252138676272,0.07053879633798589
SWE_adjacent,2026-04,3160,0.22183544303797467,0.07753164556962025
control,2024-01,112080,0.0008297644539614561,0.0
control,2024-04,8445,0.00023682652457075192,0.0
control,2026-03,21250,0.0096,0.0008470588235294118
control,2026-04,10436,0.017918742813338443,0.01044461479494059
