pair,period,cosine,n_a,n_b
SWE_vs_adjacent,2024,0.8300114407235519,400,400
SWE_vs_control,2024,0.4178906762971364,400,400
adjacent_vs_control,2024,0.47275332379071283,400,400
SWE_vs_adjacent,2026,0.8082233191910871,400,400
SWE_vs_control,2026,0.4968632337547231,400,400
adjacent_vs_control,2026,0.47768323001068147,400,400
