period,seniority_patched,seniority_3level_patched,n,ai_any_n,ai_any_pct,ai_tools_n,ai_tools_pct,ai_ml_eng_n,ai_ml_eng_pct
2024-01,associate,mid,1258,248.0,19.7,38.0,3.0,189.0,15.0
2024-01,director,senior,86,16.0,18.6,1.0,1.2,16.0,18.6
2024-01,entry,junior,121,25.0,20.7,2.0,1.7,21.0,17.4
2024-01,mid-senior,senior,20161,3639.0,18.0,570.0,2.8,2970.0,14.7
2024-04,associate,mid,207,27.0,13.0,5.0,2.4,20.0,9.7
2024-04,director,senior,17,5.0,29.4,1.0,5.9,4.0,23.5
2024-04,entry,junior,745,110.0,14.8,25.0,3.4,83.0,11.1
2024-04,mid-senior,senior,2584,481.0,18.6,107.0,4.1,355.0,13.7
2024-04,unknown,unknown,885,290.0,32.8,26.0,2.9,90.0,10.2
2026-03,associate,mid,112,64.0,57.1,12.0,10.7,17.0,15.2
2026-03,director,senior,25,14.0,56.0,7.0,28.0,8.0,32.0
2026-03,entry,junior,549,242.0,44.1,125.0,22.8,124.0,22.6
2026-03,mid-senior,senior,3262,1813.0,55.6,855.0,26.2,936.0,28.7
2026-03,unknown,unknown,271,181.0,66.8,100.0,36.9,145.0,53.5
