period,n,ai_tools_pct,ai_ml_eng_pct,ai_broad_pct,ai_any_pct
2024-01,21626,2.8,14.8,12.1,18.2
2024-04,4438,3.7,12.4,15.2,20.6
2026-03,4219,26.0,29.2,50.4,54.8
