period,seniority_3level_patched,n,ai_mention_count,ai_mention_pct
2024-01,junior,121,25.0,20.7
2024-01,mid,1258,248.0,19.7
2024-01,senior,20247,3655.0,18.1
2024-04,junior,745,110.0,14.8
2024-04,mid,207,27.0,13.0
2024-04,senior,2601,486.0,18.7
2024-04,unknown,885,290.0,32.8
2026-03,junior,549,242.0,44.1
2026-03,mid,112,64.0,57.1
2026-03,senior,3287,1827.0,55.6
2026-03,unknown,271,181.0,66.8
