period,from,to,n_associate,n_entry,euclidean_distance_z,n_mid-senior,n_director
2024,associate,entry,54,415.0,0.7059739303701814,,
2024,associate,mid-senior,54,,1.2120851478351886,13574.0,
2024,associate,director,54,,2.076198940155605,,91.0
2026,associate,entry,121,1650.0,0.824045435910883,,
2026,associate,mid-senior,121,,1.4409940393691467,19703.0,
2026,associate,director,121,,2.2192531638176938,,325.0
