period,boundary,n_low,n_high,auc_mean,auc_folds,note
2024,entry↔associate,415,54,0.6854983570646221,"0.5958,0.5838,0.7623,0.6747,0.8108",
2024,associate↔mid-senior,54,13574,0.7474637144477587,"0.6812,0.6275,0.7744,0.8343,0.8199",
2024,mid-senior↔director,13574,91,0.7321247720493786,"0.7601,0.8426,0.6479,0.7782,0.6318",
2026,entry↔associate,1650,121,0.8054,"0.8247,0.8468,0.7789,0.7619,0.8146",
2026,associate↔mid-senior,121,19703,0.897306897186118,"0.8965,0.8960,0.8700,0.9080,0.9161",
2026,mid-senior↔director,19703,325,0.6983876096674286,"0.7070,0.6966,0.6836,0.7006,0.7042",
2024,junior↔senior (3level),415,13665,0.8252751951824863,"0.8281,0.8229,0.8044,0.8551,0.8158",3level aggregate
2026,junior↔senior (3level),1650,20028,0.8362168271067845,"0.8352,0.8389,0.8385,0.8204,0.8481",3level aggregate
