period,boundary,n_low,n_high,auc_mean,auc_folds,note,sensitivity
2024,entry↔associate,415,54,0.5491347207009858,"0.4688,0.3757,0.5290,0.6758,0.6964",,no_yoe
2024,associate↔mid-senior,54,13574,0.6113413791193262,"0.6164,0.7457,0.5022,0.6333,0.5592",,no_yoe
2024,mid-senior↔director,13574,91,0.7047324208094282,"0.7706,0.7735,0.6238,0.7769,0.5789",,no_yoe
2026,entry↔associate,1650,121,0.7428727272727274,"0.7916,0.8085,0.6946,0.6922,0.7275",,no_yoe
2026,associate↔mid-senior,121,19703,0.7576832713788961,"0.7642,0.7522,0.6998,0.8221,0.7501",,no_yoe
2026,mid-senior↔director,19703,325,0.6859044191556025,"0.6982,0.6922,0.6617,0.6851,0.6923",,no_yoe
2024,junior↔senior (3level),415,13665,0.6767857379022126,"0.6750,0.7407,0.6687,0.6498,0.6498",3level aggregate,no_yoe
2026,junior↔senior (3level),1650,20028,0.7311944240413111,"0.7273,0.7360,0.7320,0.7213,0.7393",3level aggregate,no_yoe
