period,boundary,n_low,n_high,auc_mean,auc_folds,note,sensitivity
2024,entry↔associate,382,52,0.70904989747095,"0.7896,0.6442,0.6854,0.6998,0.7263",,aggregator_excluded
2024,associate↔mid-senior,52,11153,0.7419272625676478,"0.7462,0.8387,0.7716,0.6604,0.6927",,aggregator_excluded
2024,mid-senior↔director,11153,72,0.7238177600145026,"0.6704,0.7706,0.7647,0.7193,0.6941",,aggregator_excluded
2026,entry↔associate,1413,111,0.835616845157808,"0.8466,0.7942,0.8093,0.8626,0.8652",,aggregator_excluded
2026,associate↔mid-senior,111,17125,0.9073449698508409,"0.9304,0.8824,0.9271,0.9382,0.8586",,aggregator_excluded
2026,mid-senior↔director,17125,311,0.6898119382122208,"0.6812,0.6566,0.6371,0.7137,0.7605",,aggregator_excluded
2024,junior↔senior (3level),382,11225,0.8533545343415229,"0.8395,0.8557,0.8639,0.8388,0.8688",3level aggregate,aggregator_excluded
2026,junior↔senior (3level),1413,17436,0.8410942385883697,"0.8316,0.8627,0.8448,0.8419,0.8244",3level aggregate,aggregator_excluded
