period,archetype_name,n_junior,n_senior,auc_mean,note
2024,noise/outlier,37,658,0.8287143518059548,
2024,systems/clearance/requirements,1,77,,underpowered
2024,java/boot/microservices,3,71,,underpowered
2024,backend/javascript/typescript,2,66,,underpowered
2024,kubernetes/terraform/cicd,2,58,,underpowered
2024,technologies/millions_americans/tech_trends,0,53,,underpowered
2024,software/systems/requirements,1,48,,underpowered
2024,pipelines/sql/etl,1,46,,underpowered
2024,azure/pipelines/solutions,0,48,,underpowered
2024,angular/java/backend,0,26,,underpowered
2024,android/kotlin/jetpack,0,24,,underpowered
2024,scrum/software/sprint,2,19,,underpowered
2024,models/systems/llm,2,19,,underpowered
2024,software/requirements/degree,1,18,,underpowered
2024,failure/procedures/ability,0,19,,underpowered
2026,noise/outlier,116,1219,0.8696866014135886,
2026,models/systems/llm,18,169,0.7897058823529411,
2026,kubernetes/terraform/cicd,10,158,0.8472782258064516,
2026,software/systems/requirements,5,107,,underpowered
2026,pipelines/sql/etl,2,85,,underpowered
2026,azure/pipelines/solutions,3,82,,underpowered
2026,backend/javascript/typescript,5,81,,underpowered
2026,java/boot/microservices,5,69,,underpowered
2026,backend/systems/services,0,56,,underpowered
2026,features/backend/rails,5,41,,underpowered
2026,systems/clearance/requirements,3,42,,underpowered
2026,intern/internship/pursuing,39,0,,underpowered
2026,technologies/millions_americans/tech_trends,0,36,,underpowered
2026,systems/agent/workflows,0,33,,underpowered
2026,degree_practical/degree_phd/phd_related,1,31,,underpowered
