source_a,source_b,unique_a,unique_b,overlap,union,jaccard,a_only,b_only
kaggle_arshkon,kaggle_asaniczka,2162,7577,449,9290,0.04833153928955867,1713,7128
kaggle_arshkon,scraped,2162,16991,506,18647,0.027135732289376307,1656,16485
kaggle_asaniczka,scraped,7577,16991,902,23666,0.038113749683089664,6675,16089
