source,state,n
kaggle_arshkon,AK,2
kaggle_arshkon,AL,16
kaggle_arshkon,AR,13
kaggle_arshkon,AZ,84
kaggle_arshkon,CA,586
kaggle_arshkon,CO,85
kaggle_arshkon,CT,25
kaggle_arshkon,DC,33
kaggle_arshkon,DE,11
kaggle_arshkon,FL,130
kaggle_arshkon,GA,147
kaggle_arshkon,IA,15
kaggle_arshkon,ID,8
kaggle_arshkon,IL,162
kaggle_arshkon,IN,29
kaggle_arshkon,KS,18
kaggle_arshkon,KY,14
kaggle_arshkon,LA,3
kaggle_arshkon,MA,120
kaggle_arshkon,MD,69
kaggle_arshkon,ME,11
kaggle_arshkon,MI,75
kaggle_arshkon,MN,56
kaggle_arshkon,MO,26
kaggle_arshkon,MS,3
kaggle_arshkon,MT,1
kaggle_arshkon,NC,133
kaggle_arshkon,ND,3
kaggle_arshkon,NE,10
kaggle_arshkon,NH,17
kaggle_arshkon,NJ,134
kaggle_arshkon,NM,9
kaggle_arshkon,NV,17
kaggle_arshkon,NY,236
kaggle_arshkon,OH,95
kaggle_arshkon,OK,10
kaggle_arshkon,OR,13
kaggle_arshkon,PA,115
kaggle_arshkon,RI,10
kaggle_arshkon,SC,10
kaggle_arshkon,TN,24
kaggle_arshkon,TX,437
kaggle_arshkon,UT,16
kaggle_arshkon,Unknown,1095
kaggle_arshkon,VA,278
kaggle_arshkon,WA,189
kaggle_arshkon,WI,41
kaggle_arshkon,WV,5
kaggle_asaniczka,AK,8
kaggle_asaniczka,AL,250
kaggle_asaniczka,AR,130
kaggle_asaniczka,AZ,415
kaggle_asaniczka,CA,3297
kaggle_asaniczka,CO,587
kaggle_asaniczka,CT,435
kaggle_asaniczka,DC,211
kaggle_asaniczka,DE,192
kaggle_asaniczka,FL,901
kaggle_asaniczka,GA,594
kaggle_asaniczka,HI,67
kaggle_asaniczka,IA,213
kaggle_asaniczka,ID,37
kaggle_asaniczka,IL,923
kaggle_asaniczka,IN,344
kaggle_asaniczka,KS,150
kaggle_asaniczka,KY,64
kaggle_asaniczka,LA,66
kaggle_asaniczka,MA,890
kaggle_asaniczka,MD,998
kaggle_asaniczka,ME,69
kaggle_asaniczka,MI,570
kaggle_asaniczka,MN,271
kaggle_asaniczka,MO,290
kaggle_asaniczka,MS,42
kaggle_asaniczka,MT,53
kaggle_asaniczka,NC,551
kaggle_asaniczka,ND,7
kaggle_asaniczka,NE,113
kaggle_asaniczka,NH,186
kaggle_asaniczka,NJ,702
kaggle_asaniczka,NM,88
kaggle_asaniczka,NV,150
kaggle_asaniczka,NY,1066
kaggle_asaniczka,OH,728
kaggle_asaniczka,OK,97
kaggle_asaniczka,OR,166
kaggle_asaniczka,PA,736
kaggle_asaniczka,RI,119
kaggle_asaniczka,SC,135
kaggle_asaniczka,SD,31
kaggle_asaniczka,TN,240
kaggle_asaniczka,TX,1455
kaggle_asaniczka,UT,324
kaggle_asaniczka,Unknown,593
kaggle_asaniczka,VA,1323
kaggle_asaniczka,VT,16
kaggle_asaniczka,WA,722
kaggle_asaniczka,WI,407
kaggle_asaniczka,WV,19
kaggle_asaniczka,WY,2
scraped,AZ,99
scraped,CA,953
scraped,CO,114
scraped,CT,17
scraped,DC,54
scraped,DE,26
scraped,FL,112
scraped,GA,166
scraped,IL,180
scraped,IN,1
scraped,KS,18
scraped,MA,202
scraped,MD,117
scraped,MI,72
scraped,MN,86
scraped,MO,15
scraped,NC,181
scraped,NH,21
scraped,NJ,121
scraped,NY,296
scraped,OH,62
scraped,OR,31
scraped,PA,111
scraped,RI,6
scraped,SC,1
scraped,TN,44
scraped,TX,477
scraped,Unknown,218
scraped,VA,237
scraped,WA,279
scraped,WI,1
