source,company_industry,n
kaggle_arshkon,Accounting,22
kaggle_arshkon,Advertising Services,30
kaggle_arshkon,Agricultural Chemical Manufacturing,2
kaggle_arshkon,"Agriculture, Construction, Mining Machinery Manufacturing",4
kaggle_arshkon,Airlines and Aviation,25
kaggle_arshkon,"Appliances, Electrical, and Electronics Manufacturing",42
kaggle_arshkon,Architecture and Planning,1
kaggle_arshkon,Armed Forces,1
kaggle_arshkon,Automation Machinery Manufacturing,11
kaggle_arshkon,Automotive,5
kaggle_arshkon,Aviation and Aerospace Component Manufacturing,25
kaggle_arshkon,Banking,80
kaggle_arshkon,Biotechnology,1
kaggle_arshkon,Biotechnology Research,23
kaggle_arshkon,Book and Periodical Publishing,3
kaggle_arshkon,Broadcast Media Production and Distribution,13
kaggle_arshkon,Building Construction,1
kaggle_arshkon,Business Consulting and Services,55
kaggle_arshkon,Business Content,2
kaggle_arshkon,Business Intelligence Platforms,2
kaggle_arshkon,Capital Markets,6
kaggle_arshkon,Chemical Manufacturing,7
kaggle_arshkon,Civic and Social Organizations,3
kaggle_arshkon,Civil Engineering,4
kaggle_arshkon,Computer Games,12
kaggle_arshkon,Computer Hardware Manufacturing,25
kaggle_arshkon,Computer Networking,3
kaggle_arshkon,Computer Networking Products,4
kaggle_arshkon,Computer and Network Security,57
kaggle_arshkon,Computers and Electronics Manufacturing,10
kaggle_arshkon,Construction,8
kaggle_arshkon,Consumer Electronics,3
kaggle_arshkon,Consumer Services,16
kaggle_arshkon,Data Infrastructure and Analytics,4
kaggle_arshkon,Data Security Software Products,4
kaggle_arshkon,Defense & Space,5
kaggle_arshkon,Defense and Space Manufacturing,118
kaggle_arshkon,Design Services,5
kaggle_arshkon,E-Learning Providers,4
kaggle_arshkon,Education,3
kaggle_arshkon,Education Administration Programs,9
kaggle_arshkon,Electric Power Generation,2
kaggle_arshkon,"Electric Power Transmission, Control, and Distribution",1
kaggle_arshkon,Electrical Equipment Manufacturing,2
kaggle_arshkon,Engineering Services,19
kaggle_arshkon,Engines and Power Transmission Equipment Manufacturing,2
kaggle_arshkon,Entertainment Providers,50
kaggle_arshkon,Environmental Services,7
kaggle_arshkon,Events Services,2
kaggle_arshkon,Executive Search Services,3
kaggle_arshkon,Facilities Services,1
kaggle_arshkon,Farming,1
kaggle_arshkon,Financial Services,452
kaggle_arshkon,Food and Beverage Manufacturing,4
kaggle_arshkon,Food and Beverage Retail,1
kaggle_arshkon,Food and Beverage Services,8
kaggle_arshkon,Gambling Facilities and Casinos,8
kaggle_arshkon,"Glass, Ceramics and Concrete Manufacturing",1
kaggle_arshkon,Government Administration,16
kaggle_arshkon,Government Relations Services,6
kaggle_arshkon,Health and Human Services,9
kaggle_arshkon,Higher Education,20
kaggle_arshkon,Hospitality,10
kaggle_arshkon,Hospitals and Health Care,78
kaggle_arshkon,Human Resources,1
kaggle_arshkon,Human Resources Services,17
kaggle_arshkon,IT Services and IT Consulting,1100
kaggle_arshkon,IT System Custom Software Development,10
kaggle_arshkon,IT System Data Services,3
kaggle_arshkon,IT System Operations and Maintenance,1
kaggle_arshkon,IT System Testing and Evaluation,2
kaggle_arshkon,Individual and Family Services,1
kaggle_arshkon,Industrial Automation,1
kaggle_arshkon,Industrial Machinery Manufacturing,11
kaggle_arshkon,Information Services,134
kaggle_arshkon,Information Technology & Services,113
kaggle_arshkon,Insurance,58
kaggle_arshkon,Insurance Agencies and Brokerages,2
kaggle_arshkon,Internet Marketplace Platforms,12
kaggle_arshkon,Internet News,3
kaggle_arshkon,Internet Publishing,2
kaggle_arshkon,Investment Banking,14
kaggle_arshkon,Investment Management,8
kaggle_arshkon,Law Enforcement,1
kaggle_arshkon,Law Practice,5
kaggle_arshkon,Legal Services,3
kaggle_arshkon,Loan Brokers,1
kaggle_arshkon,Machinery Manufacturing,10
kaggle_arshkon,Manufacturing,42
kaggle_arshkon,Maritime Transportation,2
kaggle_arshkon,Market Research,3
kaggle_arshkon,Marketing Services,6
kaggle_arshkon,Mechanical Or Industrial Engineering,1
kaggle_arshkon,Media Production,3
kaggle_arshkon,Medical Device,1
kaggle_arshkon,Medical Equipment Manufacturing,39
kaggle_arshkon,Mental Health Care,2
kaggle_arshkon,Military and International Affairs,2
kaggle_arshkon,Mining,3
kaggle_arshkon,Motor Vehicle Manufacturing,65
kaggle_arshkon,Musicians,1
kaggle_arshkon,Nanotechnology Research,2
kaggle_arshkon,Non-profit Organizations,5
kaggle_arshkon,Oil and Gas,13
kaggle_arshkon,Outsourcing and Offshoring Consulting,2
kaggle_arshkon,Paper and Forest Product Manufacturing,2
kaggle_arshkon,Personal Care Product Manufacturing,2
kaggle_arshkon,Pharmaceutical Manufacturing,37
kaggle_arshkon,Plastics Manufacturing,2
kaggle_arshkon,Professional Services,2
kaggle_arshkon,Public Health,1
kaggle_arshkon,Public Relations and Communications Services,1
kaggle_arshkon,Public Safety,6
kaggle_arshkon,Rail Transportation,1
kaggle_arshkon,Railroad Equipment Manufacturing,1
kaggle_arshkon,Real Estate,11
kaggle_arshkon,Religious Institutions,1
kaggle_arshkon,Renewable Energy Equipment Manufacturing,1
kaggle_arshkon,Renewable Energy Power Generation,2
kaggle_arshkon,Renewable Energy Semiconductor Manufacturing,6
kaggle_arshkon,Research,1
kaggle_arshkon,Research Services,6
kaggle_arshkon,Restaurants,2
kaggle_arshkon,Retail,74
kaggle_arshkon,Retail Apparel and Fashion,6
kaggle_arshkon,Retail Groceries,1
kaggle_arshkon,Retail Office Equipment,1
kaggle_arshkon,Retail Pharmacies,1
kaggle_arshkon,Robotics Engineering,2
kaggle_arshkon,Securities and Commodity Exchanges,1
kaggle_arshkon,Security and Investigations,1
kaggle_arshkon,Semiconductor Manufacturing,32
kaggle_arshkon,Semiconductors,2
kaggle_arshkon,Services for Renewable Energy,7
kaggle_arshkon,Social Networking Platforms,2
kaggle_arshkon,Software Development,760
kaggle_arshkon,Solar Electric Power Generation,1
kaggle_arshkon,Space Research and Technology,4
kaggle_arshkon,Spectator Sports,3
kaggle_arshkon,Staffing and Recruiting,241
kaggle_arshkon,Strategic Management Services,2
kaggle_arshkon,"Technology, Information and Internet",122
kaggle_arshkon,"Technology, Information and Media",77
kaggle_arshkon,Telecommunications,46
kaggle_arshkon,Transportation Programs,2
kaggle_arshkon,"Transportation, Logistics, Supply Chain and Storage",11
kaggle_arshkon,Travel Arrangements,2
kaggle_arshkon,Truck Transportation,6
kaggle_arshkon,Unknown,36
kaggle_arshkon,Utilities,16
kaggle_arshkon,Venture Capital and Private Equity Principals,2
kaggle_arshkon,Veterinary Services,2
kaggle_arshkon,Wellness and Fitness Services,10
kaggle_arshkon,Wholesale Building Materials,4
kaggle_arshkon,Wholesale Machinery,1
kaggle_arshkon,Wireless Services,7
kaggle_arshkon,Wood Product Manufacturing,1
kaggle_arshkon,Writing and Editing,2
scraped,Accounting,8
scraped,"Accounting, Financial Services, and Business Consulting and Services",64
scraped,"Accounting, Financial Services, and IT Services and IT Consulting",59
scraped,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",64
scraped,Advertising Services,8
scraped,"Advertising Services, IT Services and IT Consulting, and Software Development",13
scraped,"Agriculture, Construction, Mining Machinery Manufacturing",1
scraped,Airlines and Aviation,11
scraped,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",9
scraped,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Software Development",1
scraped,"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",1
scraped,"Alternative Dispute Resolution, Law Practice, and Legal Services",1
scraped,"Alternative Medicine, Hospitals and Health Care, and Mental Health Care",1
scraped,"Appliances, Electrical, and Electronics Manufacturing",22
scraped,"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",1
scraped,"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Manufacturing",1
scraped,"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",3
scraped,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",3
scraped,"Appliances, Electrical, and Electronics Manufacturing, Software Development, and Computer Hardware Manufacturing",1
scraped,Architecture and Planning,2
scraped,Armed Forces,2
scraped,Automation Machinery Manufacturing,11
scraped,Automotive,3
scraped,Aviation & Aerospace,1
scraped,Aviation and Aerospace Component Manufacturing,46
scraped,"Aviation and Aerospace Component Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Automation Machinery Manufacturing",1
scraped,"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Manufacturing",1
scraped,Banking,20
scraped,Banking and Financial Services,4
scraped,"Banking and Technology, Information and Internet",1
scraped,"Banking, Capital Markets, and Financial Services",1
scraped,"Banking, Financial Services, and IT Services and IT Consulting",1
scraped,"Banking, Financial Services, and Investment Banking",2
scraped,"Banking, Financial Services, and Investment Management",1
scraped,"Banking, Information Services, and Software Development",1
scraped,"Banking, Investment Banking, and Capital Markets",1
scraped,"Banking, Investment Banking, and Financial Services",1
scraped,Biotechnology,1
scraped,Biotechnology Research,16
scraped,Biotechnology Research and Pharmaceutical Manufacturing,2
scraped,"Biotechnology Research, Hospitals and Health Care, and Medical Equipment Manufacturing",1
scraped,"Biotechnology Research, Medical Equipment Manufacturing, and Research Services",2
scraped,Book and Periodical Publishing,2
scraped,Broadcast Media Production and Distribution,2
scraped,Business Consulting and Services,90
