industry_bucket,kaggle_arshkon,scraped
Banking,80,20
Business Consulting and Services,55,90
Defense and Space Manufacturing,118,143
Financial Services,452,319
Hospitals and Health Care,78,49
IT Services and IT Consulting,1100,480
Information Services,134,15
Information Technology & Services,113,26
Insurance,58,49
Other/Unknown,1145,1583
Retail,74,36
Semiconductor Manufacturing,32,58
Software Development,760,1109
Staffing and Recruiting,241,55
"Technology, Information and Internet",122,259
"Technology, Information and Media",77,27
