metric,source,n,mean,median,p10,p90,p95,p99
description_length,kaggle_asaniczka,22043,4087.8869936034116,3859.0,1448.0,6749.799999999999,7600.799999999996,9414.159999999996
description_length,kaggle_arshkon,4639,3377.5733994395346,3023.0,904.0,6400.2,7294.099999999999,9052.159999999998
description_length,scraped,4318,5174.237146827235,5066.0,2113.2000000000003,8333.5,8973.249999999995,10660.099999999995
core_length,kaggle_asaniczka,22043,2697.4658168125934,2425.0,697.0,5123.799999999999,6071.0,8043.639999999985
core_length,kaggle_arshkon,4639,2776.5559387799094,2569.0,770.0,5096.599999999999,5827.399999999998,7513.059999999999
core_length,scraped,4318,4312.144048170449,4136.0,1897.1000000000001,7105.3,7777.699999999993,9004.689999999997
