source_a,source_b,chi2,dof,p_value
kaggle_asaniczka,kaggle_arshkon,3256.5913218639525,51,0.0
kaggle_asaniczka,scraped,1229.5621252773271,51,7.173904046803248e-224
kaggle_arshkon,scraped,1013.6395499758687,47,1.0979505735810885e-181
