title_normalized,source,n
front-end engineer (remote),kaggle_arshkon,11
"software engineer, cash commerce",kaggle_arshkon,9
"software engineer, full stack (java, aws)",kaggle_arshkon,7
infrastructure engineer (network operations),kaggle_arshkon,5
"manager, full stack software engineering - capital one software (remote eligible)",kaggle_arshkon,5
"software development engineer, aws marketplace",kaggle_arshkon,5
"software engineer, full stack (remote -eligible)",kaggle_arshkon,5
back end engineer - res & guest,kaggle_arshkon,4
cloud engineer - gcp,kaggle_arshkon,4
data engineer- aws (python/ airflow/ rds),kaggle_arshkon,4
"full-stack engineer, credit inventory",kaggle_arshkon,4
fullstack java developer,kaggle_arshkon,4
hardware/software systems engineer (nasa hhpc- johnson space center),kaggle_arshkon,4
mission software engineer - fury / cca (generalist),kaggle_arshkon,4
python- data analytics - software engineer,kaggle_arshkon,4
software dev. engineer,kaggle_arshkon,4
software engineer - cloud platform,kaggle_arshkon,4
"software engineer, back end (golang)",kaggle_arshkon,4
"software engineer, data streaming",kaggle_arshkon,4
"software engineer, full stack (typescript, node, react, aws)",kaggle_arshkon,4
", platform engineer (ibm websphere mq)",kaggle_arshkon,3
", software engineer, full stack",kaggle_arshkon,3
. applied ai engineer,kaggle_arshkon,3
. learning platform engineer (global),kaggle_arshkon,3
business systems analyst - site reliability center,kaggle_arshkon,3
computer vision/ machine learning engineer,kaggle_arshkon,3
engineer – it infrastructure,kaggle_arshkon,3
finops infrastructure engineer,kaggle_arshkon,3
"full stack engineer (javascript, typescript, angular, java, aws)",kaggle_arshkon,3
full stack engineer - payments,kaggle_arshkon,3
fullstack software engineer - mid level,kaggle_arshkon,3
geographic information systems engineer,kaggle_arshkon,3
hp nonstop software engineer,kaggle_arshkon,3
hybrid java backend developer,kaggle_arshkon,3
infrastructure,kaggle_arshkon,3
infrastructure engineer (data),kaggle_arshkon,3
middleware engineer with devops,kaggle_arshkon,3
mobile platform engineer,kaggle_arshkon,3
python perl developer,kaggle_arshkon,3
"software engineer (c#/.net), services",kaggle_arshkon,3
software engineer (mobile sdk),kaggle_arshkon,3
"software engineer back end (java, python, spring boot, aws)",kaggle_arshkon,3
"software engineer, back end (python, kubernetes, aws)",kaggle_arshkon,3
"software engineer, backend (java, go)",kaggle_arshkon,3
software engineer-(mainframe/ sql/ etl),kaggle_arshkon,3
