source_a,source_b,chi2,dof,p_value
kaggle_asaniczka,kaggle_arshkon,3825.799663584688,3,0.0
kaggle_asaniczka,scraped,2419.331725328857,3,0.0
kaggle_arshkon,scraped,106.83162277109957,3,5.2736034464799535e-23
