subset,source,column,rows,non_null,non_null_rate,distinct
all,kaggle_arshkon,llm_classification_sample_tier,110360,110360,1.0,2
all,kaggle_arshkon,llm_classification_reason,110360,110360,1.0,3
all,kaggle_arshkon,swe_classification_llm,110360,11511,0.10430409568684305,3
all,kaggle_arshkon,ghost_assessment_llm,110360,11511,0.10430409568684305,3
all,kaggle_arshkon,yoe_min_years_llm,110360,6926,0.06275824574121058,19
all,kaggle_arshkon,llm_model_classification,110360,11511,0.10430409568684305,1
all,kaggle_arshkon,llm_prompt_version_classification,110360,11511,0.10430409568684305,1
all,kaggle_arshkon,llm_classification_coverage,110360,110360,1.0,4
all,kaggle_arshkon,llm_classification_resolution,110360,110360,1.0,5
all,kaggle_asaniczka,uid,847526,847526,1.0,847526
all,kaggle_asaniczka,job_id,847526,847526,1.0,847526
all,kaggle_asaniczka,source,847526,847526,1.0,1
all,kaggle_asaniczka,source_platform,847526,847526,1.0,1
all,kaggle_asaniczka,site,847526,847526,1.0,1
all,kaggle_asaniczka,title,847526,847526,1.0,472313
all,kaggle_asaniczka,title_normalized,847526,847493,0.9999610631414257,450068
all,kaggle_asaniczka,company_name,847526,847520,0.9999929205711683,67690
all,kaggle_asaniczka,company_name_normalized,847526,847520,0.9999929205711683,67690
all,kaggle_asaniczka,location,847526,847517,0.9999893808567525,17111
all,kaggle_asaniczka,date_posted,847526,847526,1.0,6
all,kaggle_asaniczka,scrape_date,847526,0,0.0,0
all,kaggle_asaniczka,description,847526,847526,1.0,792345
all,kaggle_asaniczka,description_raw,847526,847526,1.0,792349
all,kaggle_asaniczka,description_length,847526,847526,1.0,15875
all,kaggle_asaniczka,seniority_native,847526,847526,1.0,2
all,kaggle_asaniczka,company_industry,847526,0,0.0,0
all,kaggle_asaniczka,company_size,847526,0,0.0,0
all,kaggle_asaniczka,company_size_raw,847526,0,0.0,0
all,kaggle_asaniczka,company_size_category,847526,0,0.0,0
all,kaggle_asaniczka,search_query,847526,847526,1.0,1872
all,kaggle_asaniczka,query_tier,847526,0,0.0,0
all,kaggle_asaniczka,search_metro_id,847526,0,0.0,0
all,kaggle_asaniczka,search_metro_name,847526,812168,0.9582809258948988,849
all,kaggle_asaniczka,search_metro_region,847526,0,0.0,0
all,kaggle_asaniczka,search_location,847526,0,0.0,0
all,kaggle_asaniczka,work_type,847526,0,0.0,0
all,kaggle_asaniczka,is_remote,847526,847526,1.0,2
all,kaggle_asaniczka,job_url,847526,847526,1.0,847526
all,kaggle_asaniczka,skills_raw,847526,845537,0.9976531693422974,842121
all,kaggle_asaniczka,asaniczka_skills,847526,845537,0.9976531693422974,842121
all,kaggle_asaniczka,company_id_kaggle,847526,0,0.0,0
all,kaggle_asaniczka,posting_age_days,847526,0,0.0,0
all,kaggle_asaniczka,is_aggregator,847526,847526,1.0,2
all,kaggle_asaniczka,real_employer,847526,16263,0.01918879184827368,1081
all,kaggle_asaniczka,company_name_effective,847526,847520,0.9999929205711683,68551
all,kaggle_asaniczka,company_name_canonical,847526,847520,0.9999929205711683,67833
all,kaggle_asaniczka,company_name_canonical_method,847526,847526,1.0,4
all,kaggle_asaniczka,is_multi_location,847526,847526,1.0,2
all,kaggle_asaniczka,is_swe,847526,847526,1.0,2
all,kaggle_asaniczka,is_swe_adjacent,847526,847526,1.0,2
all,kaggle_asaniczka,swe_confidence,847526,847526,1.0,45520
all,kaggle_asaniczka,swe_classification_tier,847526,847526,1.0,5
all,kaggle_asaniczka,is_control,847526,847526,1.0,2
all,kaggle_asaniczka,seniority_final,847526,847526,1.0,5
all,kaggle_asaniczka,seniority_final_source,847526,847526,1.0,4
all,kaggle_asaniczka,seniority_3level,847526,847526,1.0,4
all,kaggle_asaniczka,yoe_extracted,847526,393364,0.46413207382428384,20
all,kaggle_asaniczka,yoe_min_extracted,847526,393364,0.46413207382428384,20
all,kaggle_asaniczka,yoe_max_extracted,847526,393364,0.46413207382428384,20
all,kaggle_asaniczka,yoe_match_count,847526,847526,1.0,29
all,kaggle_asaniczka,yoe_resolution_rule,847526,847526,1.0,12
all,kaggle_asaniczka,yoe_all_mentions_json,847526,467396,0.5514827863687958,298562
all,kaggle_asaniczka,yoe_seniority_contradiction,847526,847526,1.0,2
all,kaggle_asaniczka,city_extracted,847526,832552,0.9823321054457327,12039
all,kaggle_asaniczka,state_normalized,847526,794843,0.9378390751434175,51
all,kaggle_asaniczka,country_extracted,847526,800407,0.9444040654799971,63
all,kaggle_asaniczka,is_remote_inferred,847526,847526,1.0,1
all,kaggle_asaniczka,metro_area,847526,500380,0.5904007664661615,86
all,kaggle_asaniczka,metro_source,847526,847526,1.0,4
all,kaggle_asaniczka,metro_confidence,847526,847526,1.0,3
all,kaggle_asaniczka,period,847526,847526,1.0,1
all,kaggle_asaniczka,scrape_week,847526,0,0.0,0
all,kaggle_asaniczka,date_flag,847526,847526,1.0,1
all,kaggle_asaniczka,is_english,847526,847526,1.0,1
all,kaggle_asaniczka,description_hash,847526,847526,1.0,792345
all,kaggle_asaniczka,ghost_job_risk,847526,847526,1.0,3
all,kaggle_asaniczka,description_quality_flag,847526,847526,1.0,2
all,kaggle_asaniczka,preprocessing_version,847526,847526,1.0,1
all,kaggle_asaniczka,dedup_method,847526,847526,1.0,1
all,kaggle_asaniczka,analysis_group,847526,132890,0.1567975495737004,3
all,kaggle_asaniczka,selection_date_bin,847526,847526,1.0,6
all,kaggle_asaniczka,analysis_in_scope,847526,847526,1.0,2
all,kaggle_asaniczka,eligible_for_extraction,847526,847526,1.0,2
all,kaggle_asaniczka,llm_text_skip_reason,847526,130,0.0001533876246864403,1
all,kaggle_asaniczka,description_core_llm,847526,46765,0.0551782482189337,45700
all,kaggle_asaniczka,extraction_input_hash,847526,847526,1.0,847526
all,kaggle_asaniczka,selected_for_llm_frame,847526,847526,1.0,2
all,kaggle_asaniczka,selected_for_control_cohort,847526,847526,1.0,2
all,kaggle_asaniczka,llm_extraction_sample_tier,847526,847526,1.0,3
all,kaggle_asaniczka,llm_extraction_reason,847526,847526,1.0,3
all,kaggle_asaniczka,llm_extraction_coverage,847526,847526,1.0,4
all,kaggle_asaniczka,llm_extraction_resolution,847526,847526,1.0,5
all,kaggle_asaniczka,needs_llm_classification,847526,847526,1.0,2
all,kaggle_asaniczka,classification_input_hash,847526,814964,0.9615799397304625,814612
all,kaggle_asaniczka,llm_classification_sample_tier,847526,847526,1.0,3
all,kaggle_asaniczka,llm_classification_reason,847526,847526,1.0,3
all,kaggle_asaniczka,swe_classification_llm,847526,18121,0.021381054976484497,3
all,kaggle_asaniczka,ghost_assessment_llm,847526,18121,0.021381054976484497,3
all,kaggle_asaniczka,yoe_min_years_llm,847526,12631,0.014903377595495596,20
all,kaggle_asaniczka,llm_model_classification,847526,18121,0.021381054976484497,1
all,kaggle_asaniczka,llm_prompt_version_classification,847526,18121,0.021381054976484497,1
all,kaggle_asaniczka,llm_classification_coverage,847526,847526,1.0,4
all,kaggle_asaniczka,llm_classification_resolution,847526,847526,1.0,5
all,scraped,uid,253626,253626,1.0,253626
all,scraped,job_id,253626,253626,1.0,253626
all,scraped,source,253626,253626,1.0,1
all,scraped,source_platform,253626,253626,1.0,1
all,scraped,site,253626,253626,1.0,1
all,scraped,title,253626,253626,1.0,152154
all,scraped,title_normalized,253626,253618,0.9999684574925284,140986
all,scraped,company_name,253626,253626,1.0,33111
all,scraped,company_name_normalized,253626,253626,1.0,33111
all,scraped,location,253626,243923,0.961742881250345,3947
all,scraped,date_posted,253626,3477,0.013709162309857822,26
all,scraped,scrape_date,253626,253626,1.0,26
