archetype,n_2024,n_2026,ai_strict_2024,ai_strict_2026,delta_pp
generic_software_engineer,3366,1915,0.0035650623885918,0.03603133159268929,3.2466269204097493
systems_engineering,2377,418,0.0008413967185527977,0.0023923444976076554,0.1550947779054858
data_engineering,1662,1151,0.00842358604091456,0.06255430060816682,5.413071456725225
cloud_devops,1645,1357,0.006686930091185411,0.06779661016949153,6.1109680078306114
frontend_react,1471,830,0.007477906186267845,0.10602409638554217,9.854619019927432
java_spring_backend,1430,604,0.0034965034965034965,0.07947019867549669,7.597369517899319
customer_project_engineer,1272,385,0.0015723270440251573,0.03896103896103896,3.73887119170138
dotnet_web_sql,1157,164,0.006050129645635264,0.06097560975609756,5.49254801104623
network_security_linux,1099,435,0.0,0.020689655172413793,2.0689655172413794
aws_cloud_services,1075,348,0.0018604651162790699,0.07183908045977011,6.997861534349104
backend_platform,754,869,0.006631299734748011,0.11277330264672036,10.614200291197236
technology_leadership,703,308,0.002844950213371266,0.11363636363636363,11.079141342299238
test_engineering,637,238,0.0,0.012605042016806723,1.2605042016806722
ai_ml_engineering,556,2014,0.22122302158273383,0.4746772591857001,25.345423760296626
mobile_android_ios,556,433,0.0017985611510791368,0.07159353348729793,6.979497233621879
azure_dotnet_web,493,187,0.014198782961460446,0.12834224598930483,11.414346302784438
python_backend_developer,460,232,0.006521739130434782,0.16379310344827586,15.727136431784109
qa_test_automation,397,176,0.0,0.08522727272727272,8.522727272727272
angular_frontend,273,128,0.003663003663003663,0.125,12.133699633699633
golang_cloud,140,57,0.0,0.0,0.0
recommendation_ecommerce,67,157,0.029850746268656716,0.12101910828025478,9.116836201159806
internship_new_grad,56,50,0.0,0.08,8.0
