group,period,n,req_share_mean,resp_share_mean,benefits_share_mean,unclassified_share_mean,has_req_rate
control,2024,250,0.2079,0.1683,0.2207,0.1471,0.732
control,2026,250,0.2385,0.1984,0.2025,0.119,0.832
swe,2024,250,0.3832,0.1478,0.1103,0.1148,0.86
swe,2026,250,0.2219,0.2062,0.1589,0.1282,0.832
