subterm,AMBIG,FP,TP,n,precision_strict,precision_relaxed
agent,25,3,22,50,0.44,0.88
pipeline,4,0,46,50,0.92,1.0
stakeholder,29,0,21,50,0.42,1.0
team_building,27,0,3,30,0.1,1.0
