term,count_a,count_b,z_score,log_odds_ratio,company_count,direction,category,comparison,ngram
net,949,1132,19.00551048904833,0.762697199986996,777,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
sql,1856,3618,14.04935618518211,0.3598802867527082,2244,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
javascript,1135,1973,13.45223992669513,0.45210841247849753,1447,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
agile,1823,3641,13.235711182898157,0.3402528987162228,1993,A_heavy,method,primary_arshkon_vs_scraped_fulltext,unigram
php,209,158,11.89185138014559,1.1410050696846454,171,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
azure,2393,5420,10.997468344093656,0.24000865342379107,1883,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
experienceexperience,120,0,10.96524219263679,3.3061449171227437,99,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
developerlocation,104,0,10.20794889351249,3.306100854701448,84,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
skillsability,98,0,9.909065172314897,3.3060843318320856,81,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
directory,173,155,9.907163291246691,0.9997844709978585,178,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
java,2137,4919,9.863685688119757,0.22698932675192118,1975,A_heavy,tech_stack,primary_arshkon_vs_scraped_fulltext,unigram
written,857,1654,9.71183277455268,0.36691613424952063,1501,A_heavy,soft_skill,primary_arshkon_vs_scraped_fulltext,unigram
jquery,132,94,9.704254761377683,1.1902906220645937,171,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
existing,1094,2243,9.653236066635145,0.3184866587773252,1560,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
html,368,539,9.637588073110605,0.5916044195545913,615,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
engineerlocation,87,0,9.336310659223907,3.3060540406679184,78,A_heavy,noise,primary_arshkon_vs_scraped_fulltext,unigram
