baseline,metric,label,swe_2024,swe_2026,swe_delta,adj_2024,adj_2026,adj_delta,ctrl_2024,ctrl_2026,ctrl_delta,did_swe_vs_ctrl,did_adj_vs_ctrl,did_swe_vs_adj,n_swe_24,n_swe_26,n_adj_24,n_adj_26,n_ctrl_24,n_ctrl_26,did_swe_vs_ctrl_ci_lo,did_swe_vs_ctrl_ci_hi,did_adj_vs_ctrl_ci_lo,did_adj_vs_ctrl_ci_hi
2024_pooled,ai_broad_any_share,AI broad (24-term union),0.1603418054338299,0.5178444754286833,0.35750266999485336,0.1513202437373053,0.4880952380952381,0.3367749943579328,0.0263086305997981,0.0876764776262263,0.061367847026428196,0.2961348229684252,0.2754071473315046,0.020727675636920573,22820,40881,11816,11592,113955,41790,0.2887629962797829,0.3035066496570675,0.26388445354301304,0.2869298411199962
2024_pooled,ai_narrow_share,AI narrow (bare 'ai'),0.0870289219982471,0.4442161395269196,0.35718721752867244,0.0790453622207176,0.3915631469979296,0.312517784777212,0.0058180860866131,0.0721943048576214,0.0663762187710083,0.29081099875766414,0.24614156600620368,0.04466943275146046,22820,40881,11816,11592,113955,41790,0.2842590293193097,0.2973629681960186,0.2357025244506947,0.25658060756171264
2024_pooled,tool_claude_share,Claude tool mention,0.0001752848378615,0.0352241872752623,0.0350489024374008,0.0002538930264048,0.0196687370600414,0.0194148440336366,0.0016761002149971,0.0005743000717875,-0.0011018001432096,0.0361507025806104,0.0205166441768462,0.015634058403764202,22820,40881,11816,11592,113955,41790,0.03432529587176056,0.03797610928946024,0.01795115601668284,0.023082132337009564
2024_pooled,tool_copilot_share,Copilot mention,0.000920245398773,0.0402632029549179,0.0393429575561449,0.0004231550440081,0.0212215320910973,0.0207983770470892,8.775393795796587e-06,0.0013878918401531,0.0013791164463573032,0.037963841109787594,0.019419260600731895,0.0185445805090557,22820,40881,11816,11592,113955,41790,0.03598553751689328,0.039942144702681905,0.016745535015423238,0.022092986186040553
2024_pooled,tool_langchain_share,LangChain mention,0.0011831726555652,0.0332917492233555,0.0321085765677903,0.0019465132024373,0.0269151138716356,0.0249686006691983,0.0,4.785833931562575e-05,4.785833931562575e-05,0.03206071822847467,0.024920742329882676,0.007139975898591999,22820,40881,11816,11592,113955,41790,0.030264158249638587,0.033857278207310756,0.021868589819571495,0.027972894840193857
2024_pooled,tool_agents_share,Agents framework mention,0.0118755477651183,0.1424867297766688,0.1306111820115505,0.0164184157075152,0.1223257418909592,0.10590732618344399,0.0152077574481154,0.0156975352955252,0.0004897778474098006,0.1301214041641407,0.10541754833603419,0.02470385582810651,22820,40881,11816,11592,113955,41790,0.1261993679737144,0.134043440354567,0.09887878263956192,0.11195631403250646
2024_pooled,scope_any_share,Scope (end-to-end / cross-func),0.2159509202453987,0.3903035640028375,0.1743526437574388,0.1993060257278266,0.3778467908902691,0.17854076516244252,0.0231758150146987,0.1042593921990907,0.08108357718439199,0.09326906657304682,0.09745718797805053,-0.004188121405003714,22820,40881,11816,11592,113955,41790,0.08550934973736035,0.10102878340873328,0.08566156064085181,0.10925281531524925
2024_pooled,scope_end_to_end_share,End-to-end,0.0822962313759859,0.197964824735207,0.11566859335922108,0.068805010155721,0.1595928226363009,0.09078781248057989,0.003018735465754,0.020076573342905,0.017057837877151,0.09861075548207009,0.0737299746034289,0.024880780878641193,22820,40881,11816,11592,113955,41790,0.09317531728331697,0.1040461936808232,0.06553308034496877,0.08192686886188902
2024_pooled,scope_cross_functional_share,Cross-functional,0.1497808939526731,0.2539076832758494,0.10412678932317629,0.1437880839539607,0.2788129744651483,0.1350248905111876,0.0207801325084463,0.091816223977028,0.0710360914685817,0.03309069785459459,0.0639887990426059,-0.030898101188011312,22820,40881,11816,11592,113955,41790,0.026192080863744863,0.03998931484544432,0.05326431513561418,0.07471328294959763
2024_pooled,desc_length_mean,Description length (mean chars),3763.080806310254,4912.017049485091,1148.9362431748368,3920.8266756939743,5117.723257418909,1196.896581724935,3708.784177964986,4434.2755204594405,725.4913424944543,423.4449006803825,471.4052392304807,-47.960338550098186,22820,40881,11816,11592,113955,41790,,,,
2024_pooled,tech_count_mean,Tech count mean,5.577432077125328,7.583767520363983,2.0063354432386546,2.7832599864590386,4.872498274672187,2.089238288213149,0.1906191040322934,0.2879875568317779,0.0973684527994845,1.9089669904391702,1.9918698354136644,-0.08290284497449418,22820,40881,11816,11592,113955,41790,,,,
2024_pooled,any_tech_share,Any tech mention,0.8823838737949168,0.9534013355837676,0.07101746178885082,0.6880501015572106,0.8473084886128365,0.1592583870556259,0.159361151331666,0.2227327111749222,0.06337155984325618,0.007645901945594641,0.09588682721236971,-0.08824092526677507,22820,40881,11816,11592,113955,41790,0.0011592475933899851,0.014132556297799297,0.08435041418091634,0.10742324024382309
2024_pooled,entry_share_of_known,Entry share of known,0.0270463141368729,0.0669642857142857,0.039917971577412795,0.0339738234475076,0.0823244552058111,0.048350631758303494,0.0952738429401397,0.1001561757316493,0.004882332791509597,0.0350356387859032,0.0434682989667939,-0.0084326601808907,22820,40881,11816,11592,113955,41790,0.030399705664203157,0.03967157190760324,0.03662013642320326,0.05031646151038453
2024_pooled,yoe_le2_share_of_yoe_known,YOE ≤ 2 share,0.112162591298825,0.1719299517783981,0.059767360479573095,0.1352766210588935,0.1734563156546246,0.03817969459573112,0.6139303666469544,0.4744687323454,-0.13946163430155445,0.19922899478112754,0.17764132889728557,0.021587665883841978,22820,40881,11816,11592,113955,41790,0.1914152549912773,0.2070427345709778,0.16684985088186943,0.1884328069127017
2024_arshkon,ai_broad_any_share,AI broad (24-term union),0.1707525047964186,0.5178444754286833,0.3470919706322647,0.179465776293823,0.4880952380952381,0.3086294618014151,0.0185744137450661,0.0876764776262263,0.06910206388116019,0.2779899067511045,0.2395273979202549,0.03846250883084962,4691,40881,2396,11592,8614,41790,0.2655439099020274,0.2904359036001816,0.22124105407945657,0.2578137417610532
2024_arshkon,ai_narrow_share,AI narrow (bare 'ai'),0.0980601151140481,0.4442161395269196,0.34615602441287147,0.0926544240400667,0.3915631469979296,0.2989087229578629,0.0038309728349198,0.0721943048576214,0.0683633320227016,0.27779269239016985,0.2305453909351613,0.04724730145500855,4691,40881,2396,11592,8614,41790,0.26761972567429104,0.28796565910604865,0.21565899208402886,0.24543178978629374
2024_arshkon,tool_claude_share,Claude tool mention,0.0002131741632914,0.0352241872752623,0.035011013111970905,0.0012520868113522,0.0196687370600414,0.0184166502486892,0.0017413512885999,0.0005743000717875,-0.0011670512168124,0.0361780643287833,0.0195837014655016,0.016594362863281704,4691,40881,2396,11592,8614,41790,0.03412965616179622,0.03822647249577039,0.01654675516460451,0.02262064776639869
2024_arshkon,tool_copilot_share,Copilot mention,0.0014922191430398,0.0402632029549179,0.0387709838118781,0.0008347245409015,0.0212215320910973,0.020386807550195802,0.0,0.0013878918401531,0.0013878918401531,0.037383091971725,0.018998915710042703,0.0183841762616823,4691,40881,2396,11592,8614,41790,0.035151766412836793,0.039614417530613205,0.016109586282518504,0.021888245137566903
2024_arshkon,tool_langchain_share,LangChain mention,0.002131741632914,0.0332917492233555,0.031160007590441505,0.0029215358931552,0.0269151138716356,0.023993577978480403,0.0,4.785833931562575e-05,4.785833931562575e-05,0.03111214925112588,0.023945719639164777,0.007166429611961102,4691,40881,2396,11592,8614,41790,0.02892795389946587,0.03329634460278589,0.020291332355676855,0.0276001069226527
2024_arshkon,tool_agents_share,Agents framework mention,0.0123641014709017,0.1424867297766688,0.1301226283057671,0.0154424040066777,0.1223257418909592,0.1068833378842815,0.0098676573020664,0.0156975352955252,0.0058298779934588,0.1242927503123083,0.1010534598908227,0.023239290421485592,4691,40881,2396,11592,8614,41790,0.11907169015757754,0.12951381046703905,0.0929457709674607,0.1091611488141847
2024_arshkon,scope_any_share,Scope (end-to-end / cross-func),0.2385418887230867,0.3903035640028375,0.1517616752797508,0.2282971619365609,0.3778467908902691,0.1495496289537082,0.0381936382632923,0.1042593921990907,0.06606575393579839,0.0856959213439524,0.08348387501790983,0.002212046326042577,4691,40881,2396,11592,8614,41790,0.07169307882714918,0.09969876386075563,0.06385366163502573,0.10311408840079392
2024_arshkon,scope_end_to_end_share,End-to-end,0.0852696653165636,0.197964824735207,0.11269515941864339,0.0734557595993322,0.1595928226363009,0.08613706303696869,0.0045275133503598,0.020076573342905,0.0155490599925452,0.09714609942609818,0.07058800304442349,0.026558096381674695,4691,40881,2396,11592,8614,41790,0.08805686784632491,0.10623533100587146,0.05804247583817938,0.0831335302506676
2024_arshkon,scope_cross_functional_share,Cross-functional,0.1726710722660413,0.2539076832758494,0.08123661100980809,0.1707011686143572,0.2788129744651483,0.10811180585079111,0.0349431158579057,0.091816223977028,0.0568731081191223,0.024363502890685784,0.05123869773166881,-0.026875194840983024,4691,40881,2396,11592,8614,41790,0.011813804689979567,0.036913201091392,0.0334534888439658,0.06902390661937181
2024_arshkon,desc_length_mean,Description length (mean chars),3305.6418674056704,4912.017049485091,1606.3751820794205,3640.273789649416,5117.723257418909,1477.4494677694934,3206.525191548642,4434.2755204594405,1227.7503289107985,378.62485316862194,249.69913885869482,128.92571430992712,4691,40881,2396,11592,8614,41790,,,,
2024_arshkon,tech_count_mean,Tech count mean,5.804306118098486,7.583767520363983,1.7794614022654969,3.1060100166944906,4.872498274672187,1.7664882579776968,0.1556768052008358,0.2879875568317779,0.1323107516309421,1.6471506506345548,1.6341775063467547,0.012973144287800054,4691,40881,2396,11592,8614,41790,,,,
2024_arshkon,any_tech_share,Any tech mention,0.9023662332125346,0.9534013355837676,0.05103510237123299,0.7312186978297162,0.8473084886128365,0.11608979078312032,0.1365219410262363,0.2227327111749222,0.08621077014868589,-0.0351756677774529,0.029879020634434428,-0.06505468841188733,4691,40881,2396,11592,8614,41790,-0.04720941423226917,-0.023141921322636635,0.009227632853334024,0.05053040841553483
2024_arshkon,entry_share_of_known,Entry share of known,0.0771945302161446,0.0669642857142857,-0.010230244501858901,0.0756843800322061,0.0823244552058111,0.006640075173605001,0.3911242603550295,0.1001561757316493,-0.2909680846233802,0.2807378401215213,0.2976081597969852,-0.016870319675463902,4691,40881,2396,11592,8614,41790,0.2673699894727734,0.2941056907702692,0.2817433801862224,0.31347293940774795
2024_arshkon,yoe_le2_share_of_yoe_known,YOE ≤ 2 share,0.1497767090346959,0.1719299517783981,0.0221532427437022,0.1818796484110885,0.1734563156546246,-0.008423332756463897,0.6054780089544377,0.4744687323454,-0.13100927660903772,0.15316251935273992,0.12258594385257382,0.030576575500166098,4691,40881,2396,11592,8614,41790,0.13744256592482687,0.16888247278065296,0.10220110889616485,0.1429707788089828
