title_group,period,n,ai_broad_share,desc_length_mean,swe_classified_share
data_engineer,2024_pooled,1380,0.3144927536231884,3630.082608695652,0.9507246376811594
data_engineer,2026_scraped,3173,0.5250551528521904,4504.896627797038,0.9795146549007249
data_scientist,2024_pooled,831,0.8050541516245487,4293.321299638989,0.019253910950661854
data_scientist,2026_scraped,2560,0.858984375,5369.70859375,0.016796875
ml_engineer,2024_pooled,299,0.9866220735785953,3883.71237458194,1.0
ml_engineer,2026_scraped,1624,0.9963054187192119,5007.070197044335,0.9889162561576355
network_engineer,2024_pooled,1431,0.041928721174004195,3678.3633822501747,0.0
network_engineer,2026_scraped,1303,0.16577129700690713,4718.963929393707,0.0015349194167306216
qa_engineer,2024_pooled,1383,0.028199566160520606,3671.4953000723067,0.20462762111352134
qa_engineer,2026_scraped,1372,0.18002915451895043,4459.919096209913,0.32871720116618075
security_engineer,2024_pooled,745,0.07516778523489932,4478.357046979866,0.036241610738255034
security_engineer,2026_scraped,2012,0.34443339960238567,5560.2579522862825,0.04572564612326044
solutions_architect,2024_pooled,448,0.12946428571428573,4141.736607142857,0.026785714285714284
solutions_architect,2026_scraped,460,0.5304347826086957,5082.589130434782,0.006521739130434782
data_analyst,2024_pooled,556,0.16366906474820145,3540.8363309352517,0.0017985611510791368
data_analyst,2026_scraped,731,0.307797537619699,4118.9097127222985,0.024623803009575923
database_administrator,2024_pooled,402,0.03482587064676617,3486.950248756219,0.024875621890547265
database_administrator,2026_scraped,36,0.4444444444444444,7008.638888888889,0.4444444444444444
