group,period,n_total,ai_broad_share
swe_strict_tier,2024_pooled,20396,0.16748382035693274
swe_strict_tier,2024_arshkon,4235,0.17615112160566707
swe_strict_tier,2026_scraped,38722,0.5271421930685398
