source,variant,n_companies_any_entry,mean_entry_share_among_any,median_entry_share_among_any,q25,q75,max
kaggle_arshkon,J4,106,0.36340177012556124,0.31339285714285714,0.2,0.4255952380952381,1.0
kaggle_asaniczka,J4,383,0.2942245932715368,0.2222222222222222,0.14285714285714285,0.4,1.0
scraped,J4,963,0.4055478148848684,0.3333333333333333,0.2222222222222222,0.5,1.0
