company_name_canonical,n_posts,n_distinct,n_multi_loc,max_dup_ratio,source
SynergisticIT,5,1,1,5.0,kaggle_arshkon
Cogent Communications,6,3,0,2.0,kaggle_arshkon
Revature,9,4,0,2.25,kaggle_asaniczka
Intellibus,9,3,5,3.0,scraped
Turing,42,14,35,3.0,scraped
DataAnnotation,71,26,27,2.730769230769231,scraped
CodeGeniusRecruit,5,2,0,2.5,scraped
Integrated Power Services,5,2,5,2.5,scraped
ExecutivePlacements.com,11,5,0,2.2,scraped
