source,total_companies,n_companies_any_J1,n_companies_any_J2,n_companies_with_llm_row,n_companies_any_J3,n_companies_any_J4,n_companies_ge5,pct_zero_J1_among_ge5,pct_zero_J2_among_ge5,n_companies_ge5_with_llm,pct_zero_J3_among_ge5_llm,pct_zero_J4_among_ge5_llm
kaggle_arshkon,2299,149,162,1807,327,630,165,0.7818181818181819,0.7575757575757576,161,0.5838509316770186,0.3416149068322981
kaggle_asaniczka,4948,168,192,4242,685,1425,632,0.8718354430379747,0.8528481012658228,627,0.6220095693779905,0.38915470494417864
scraped,8477,812,866,5239,1153,2215,1653,0.7713248638838476,0.7465214761040533,1581,0.6312460468058191,0.3908918406072106
