company_name_canonical,n_swe,n_j1,n_j2,n_llm,n_j3,n_j4,j1_share,j2_share,j3_share,j4_share,is_aggregator_any,specialist_category
Ring,13,0,0,9,1,7,0.0,0.0,0.1111111111111111,0.7777777777777778,False,direct-employer
LangChain,13,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Hopper,13,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Sam's Club,12,0,0,8,5,6,0.0,0.0,0.625,0.75,False,direct-employer
Global Payments Inc.,12,0,1,7,4,6,0.0,0.08333333333333333,0.5714285714285714,0.8571428571428571,False,direct-employer
Skyrocket Ventures,12,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
Avride,12,0,0,4,0,4,0.0,0.0,0.0,1.0,False,direct-employer
RTX,12,0,0,7,4,5,0.0,0.0,0.5714285714285714,0.7142857142857143,False,direct-employer
AARATECH,12,1,1,6,5,6,0.08333333333333333,0.08333333333333333,0.8333333333333334,1.0,False,direct-employer
Lawrence Livermore National Laboratory,12,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
MeeBoss,11,1,1,3,1,2,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.6666666666666666,False,direct-employer
Blackhawk Network,11,1,1,8,3,5,0.09090909090909091,0.09090909090909091,0.375,0.625,False,direct-employer
Flexton Inc.,11,1,1,4,2,3,0.09090909090909091,0.09090909090909091,0.5,0.75,False,direct-employer
HIRECLOUT,10,1,1,8,1,6,0.1,0.1,0.125,0.75,False,direct-employer
Tinder,10,5,5,3,2,2,0.5,0.5,0.6666666666666666,0.6666666666666666,False,direct-employer
Eli Lilly and Company,10,0,0,7,1,5,0.0,0.0,0.14285714285714285,0.7142857142857143,False,direct-employer
Indotronix Avani Group,10,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Kastle Systems,10,1,1,6,2,5,0.1,0.1,0.3333333333333333,0.8333333333333334,False,direct-employer
Macquarie Group,10,0,0,5,3,4,0.0,0.0,0.6,0.8,False,direct-employer
InfiCare Technologies,10,0,0,2,0,2,0.0,0.0,0.0,1.0,True,aggregator
"Sabre Systems, LLC",10,0,0,6,0,5,0.0,0.0,0.0,0.8333333333333334,False,direct-employer
Fusion Technology LLC,10,0,0,6,4,4,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Fintal Partners,9,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
ConsultAdd Inc,9,2,2,2,2,2,0.2222222222222222,0.2222222222222222,1.0,1.0,False,staffing
edkey,9,2,2,3,3,3,0.2222222222222222,0.2222222222222222,1.0,1.0,False,direct-employer
Swift,9,1,1,6,3,6,0.1111111111111111,0.1111111111111111,0.5,1.0,False,direct-employer
Bosch USA,9,0,0,7,0,6,0.0,0.0,0.0,0.8571428571428571,False,direct-employer
Nutanix,9,2,2,4,1,3,0.2222222222222222,0.2222222222222222,0.25,0.75,False,direct-employer
Anyscale,9,0,0,8,4,5,0.0,0.0,0.5,0.625,False,direct-employer
Cogent Communications,9,0,0,7,0,7,0.0,0.0,0.0,1.0,False,direct-employer
Seneca Resources,9,0,0,6,2,4,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
David Joseph & Company,9,0,0,4,2,3,0.0,0.0,0.5,0.75,False,direct-employer
Arcadia,9,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
Honey,9,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Aretum,9,0,0,4,1,3,0.0,0.0,0.25,0.75,False,direct-employer
Clevanoo LLC,9,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Xylem,9,0,0,8,3,6,0.0,0.0,0.375,0.75,False,direct-employer
Top Prospect Group,9,0,0,4,1,3,0.0,0.0,0.25,0.75,False,direct-employer
Stand8 Technology Consulting,8,0,0,4,1,4,0.0,0.0,0.25,1.0,False,staffing
SSTech LLC,8,0,0,2,0,2,0.0,0.0,0.0,1.0,True,aggregator
INNOVIT USA INC,8,0,0,4,1,3,0.0,0.0,0.25,0.75,True,aggregator
Stryker,8,1,1,6,4,4,0.125,0.125,0.6666666666666666,0.6666666666666666,False,direct-employer
"3 Key Consulting, Inc.",8,0,0,8,5,6,0.0,0.0,0.625,0.75,False,staffing
HackerRank,8,0,0,4,2,4,0.0,0.0,0.5,1.0,False,direct-employer
"Newport News Shipbuilding, A Division of HII",8,0,0,8,5,6,0.0,0.0,0.625,0.75,False,direct-employer
Inspira Financial,8,0,0,3,2,2,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Mirage,8,2,2,3,3,3,0.25,0.25,1.0,1.0,False,direct-employer
Henkel,7,1,1,5,1,4,0.14285714285714285,0.14285714285714285,0.2,0.8,False,direct-employer
CNH,7,0,0,5,2,4,0.0,0.0,0.4,0.8,False,direct-employer
Rillet,7,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
Generac,7,0,1,4,2,3,0.0,0.14285714285714285,0.5,0.75,False,direct-employer
Axle,7,1,1,3,1,2,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6666666666666666,False,direct-employer
Hallmark Global Solutions Ltd,7,0,1,1,1,1,0.0,0.14285714285714285,1.0,1.0,False,staffing
RoviSys,7,0,0,6,4,4,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
Retell AI,7,0,0,5,3,5,0.0,0.0,0.6,1.0,False,direct-employer
Optimal Inc.,7,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
LexisNexis Risk Solutions,7,2,2,4,2,3,0.2857142857142857,0.2857142857142857,0.5,0.75,False,staffing
Alldus,7,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
Modine Manufacturing Company,7,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,staffing
The University of Texas at Austin,7,0,0,6,2,5,0.0,0.0,0.3333333333333333,0.8333333333333334,False,college-jobsite
Mach Industries,7,0,0,4,1,4,0.0,0.0,0.25,1.0,False,direct-employer
Venteon,7,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Nigel Frank International,7,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
"Eccalon, LLC",7,0,0,4,0,3,0.0,0.0,0.0,0.75,False,direct-employer
Tencent,7,1,1,6,4,4,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.6666666666666666,False,direct-employer
Hays,7,1,1,4,1,3,0.14285714285714285,0.14285714285714285,0.25,0.75,True,aggregator
SHEIN Technology LLC,7,0,0,5,0,4,0.0,0.0,0.0,0.8,False,direct-employer
Kaynes,7,0,0,7,0,5,0.0,0.0,0.0,0.7142857142857143,False,direct-employer
HealthStream,6,0,0,4,1,3,0.0,0.0,0.25,0.75,False,direct-employer
Phoenix Operations Group,6,0,0,3,1,3,0.0,0.0,0.3333333333333333,1.0,False,direct-employer
TD Securities,6,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Inclusively,6,0,0,5,2,4,0.0,0.0,0.4,0.8,False,direct-employer
Client Server Technology Solutions LLC,6,0,0,5,0,5,0.0,0.0,0.0,1.0,False,staffing
Pariveda,6,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Alexander Chapman,6,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Hilton,6,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Bosch México,6,1,1,5,1,4,0.16666666666666666,0.16666666666666666,0.2,0.8,False,direct-employer
Mujin US,6,0,0,5,1,4,0.0,0.0,0.2,0.8,False,direct-employer
PsiQuantum,6,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Divergent,6,0,0,4,2,4,0.0,0.0,0.5,1.0,False,direct-employer
Barclays Corporate & Investment Bank,6,0,0,6,3,4,0.0,0.0,0.5,0.6666666666666666,False,direct-employer
Collibra,6,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
Snyk,6,2,2,2,0,2,0.3333333333333333,0.3333333333333333,0.0,1.0,False,direct-employer
Pragmatike,6,0,0,4,0,3,0.0,0.0,0.0,0.75,False,direct-employer
Wing,6,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Tata Technologies,6,0,0,2,2,2,0.0,0.0,1.0,1.0,False,staffing
"Next Phase Solutions and Services, Inc.",6,3,3,3,2,2,0.5,0.5,0.6666666666666666,0.6666666666666666,False,staffing
Wonder,6,0,0,3,2,3,0.0,0.0,0.6666666666666666,1.0,False,direct-employer
Stellar Science Ltd Co,6,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Millennium Space Systems,6,1,1,1,1,1,0.16666666666666666,0.16666666666666666,1.0,1.0,False,direct-employer
Omnicell,6,0,0,3,2,2,0.0,0.0,0.6666666666666666,0.6666666666666666,False,direct-employer
U-Haul,6,2,2,3,0,2,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,False,direct-employer
Klarity,6,2,2,2,2,2,0.3333333333333333,0.3333333333333333,1.0,1.0,False,direct-employer
CGI Technologies and Solutions,5,5,5,0,0,0,1.0,1.0,,,True,aggregator
"Monarch Recruiters, LLC",5,2,2,2,1,2,0.4,0.4,0.5,1.0,False,staffing
Bentley Systems,5,0,0,3,0,3,0.0,0.0,0.0,1.0,False,direct-employer
University of Washington,5,0,0,4,0,3,0.0,0.0,0.0,0.75,False,college-jobsite
Meltwater,5,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
Avathon,5,1,1,2,0,2,0.2,0.2,0.0,1.0,False,direct-employer
Allied Universal,5,0,0,3,0,3,0.0,0.0,0.0,1.0,False,college-jobsite
Colgate-Palmolive,5,0,0,1,1,1,0.0,0.0,1.0,1.0,False,direct-employer
TBG | The Bachrach Group,5,0,0,4,2,3,0.0,0.0,0.5,0.75,False,direct-employer
Auger,5,0,0,3,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,False,direct-employer
A1,5,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Rad Hires,5,0,0,4,0,3,0.0,0.0,0.0,0.75,False,direct-employer
"Qorvo, Inc.",5,0,0,4,1,3,0.0,0.0,0.25,0.75,False,direct-employer
Dark Wolf,5,0,0,4,0,3,0.0,0.0,0.0,0.75,False,direct-employer
Orchard,5,0,0,3,0,2,0.0,0.0,0.0,0.6666666666666666,False,direct-employer
Amerit Consulting,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,staffing
Lunar Outpost,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Schonfeld,5,0,0,1,0,1,0.0,0.0,0.0,1.0,False,direct-employer
Sysco,5,1,1,3,0,3,0.2,0.2,0.0,1.0,False,direct-employer
"Spatial Front, Inc",5,0,0,2,0,2,0.0,0.0,0.0,1.0,False,direct-employer
Algo Capital Group,5,0,0,3,2,3,0.0,0.0,0.6666666666666666,1.0,False,direct-employer
