company_name_canonical,n_ar,n_sc,sum_len_ar,sum_len_sc,mean_yoe_ar,mean_yoe_sc,n_j1_ar,n_j1_sc,n_j2_ar,n_j2_sc,n_llm_ar,n_llm_sc,n_j3_ar,n_j3_sc,n_j4_ar,n_j4_sc
hackajob,10,263,25216.0,1522116.0,5.8,5.957142857142857,0,5,0,5,5,140,0,15,1,31
Quantum World Technologies Inc.,8,12,11540.0,29184.0,6.25,4.4,0,0,0,0,4,5,0,0,1,2
WEX,6,21,21557.0,93119.0,4.0,6.357142857142857,0,0,0,0,3,14,1,2,1,2
Insight Global,25,141,39892.0,304098.0,5.05,4.920634920634921,1,3,1,3,20,63,2,14,6,21
World Wide Technology,5,9,14009.0,59697.0,8.0,6.5,0,0,0,0,3,4,0,0,0,0
Ledgent Technology,9,37,23206.0,150468.0,3.857142857142857,6.0,0,1,0,1,7,20,2,1,2,3
Siri InfoSolutions Inc,7,11,10402.0,18521.0,8.333333333333334,8.75,0,0,0,0,3,4,0,0,0,0
myGwork - LGBTQ+ Business Community,12,128,47193.0,820716.0,4.333333333333333,3.9871794871794872,1,3,1,4,12,78,3,13,5,46
Synechron,15,68,61711.0,377970.0,7.083333333333333,9.0,0,0,0,0,12,14,0,0,1,0
American Express,6,18,40542.0,161079.0,5.5,6.583333333333333,0,0,0,1,6,12,1,2,2,3
Goldman Sachs,6,49,23438.0,260039.0,4.75,4.9,0,0,0,9,4,20,0,3,1,7
Optomi,6,23,10954.0,49790.0,5.8,5.461538461538462,0,1,0,1,5,13,0,0,0,3
Confidential,5,8,9699.0,20047.0,7.4,4.666666666666667,0,0,0,0,5,3,0,0,0,1
Infosys,5,50,10705.0,224489.0,5.6,3.7241379310344827,0,0,0,0,5,29,0,3,0,7
Amazon,31,376,125368.0,2117234.0,3.225806451612903,3.4696969696969697,4,19,4,19,31,198,9,26,20,143
Wipro,6,22,13387.0,76721.0,6.0,3.875,0,0,0,0,5,8,1,2,1,3
Motion Recruitment,40,238,67243.0,551140.0,5.92,4.928571428571429,0,3,0,3,25,112,1,11,4,25
CGI,8,88,58939.0,722272.0,5.5,6.348837209302325,1,6,1,6,8,43,0,1,3,7
Visa,5,73,32797.0,523343.0,6.2,4.545454545454546,0,4,0,4,5,33,2,11,2,14
Ehub Global Inc,5,6,3585.0,9574.0,9.75,6.25,0,0,0,0,4,4,0,0,0,1
Thermo Fisher Scientific,6,8,23735.0,41104.0,5.0,3.5714285714285716,1,0,1,0,6,7,2,2,2,5
Experis,26,72,72775.0,259257.0,4.411764705882353,4.933333333333334,1,1,1,1,17,30,2,3,6,7
Piper Companies,16,110,38879.0,234169.0,5.8,5.076923076923077,0,0,0,0,15,52,1,2,5,10
General Dynamics Mission Systems,5,70,19693.0,306735.0,2.0,4.181818181818182,0,9,0,9,2,33,2,13,2,16
Smart IT Frame LLC,6,44,5884.0,91097.0,11.5,8.125,0,0,0,0,4,16,0,0,0,0
Palo Alto Networks,13,52,73989.0,341407.0,5.875,7.476190476190476,0,0,0,0,8,21,0,1,1,1
UST,6,21,19999.0,152837.0,5.0,6.6,0,1,0,1,2,10,0,0,0,2
Brooksource,5,49,14412.0,195956.0,5.8,5.611111111111111,0,6,0,7,5,18,0,2,1,4
Leonardo DRS,5,16,26177.0,83669.0,6.6,4.888888888888889,0,2,0,2,5,9,1,2,1,4
DataAnnotation,8,71,11587.0,175777.0,,,0,0,0,0,0,0,0,0,0,0
SSi People,5,11,8678.0,26715.0,5.25,5.0,0,0,0,0,4,3,0,0,1,0
FastTek Global,5,28,19986.0,168028.0,6.4,6.785714285714286,0,0,0,0,5,14,1,0,1,0
Empower Professionals,7,14,9579.0,31971.0,5.166666666666667,6.4,0,0,0,0,6,5,0,0,2,0
IntePros,5,12,15783.0,31686.0,4.75,,0,0,0,0,4,0,0,0,1,0
AT&T,8,25,40002.0,160767.0,4.625,8.666666666666666,0,0,0,0,8,12,0,0,3,0
BCforward,8,47,16274.0,164954.0,7.0,5.0588235294117645,0,0,0,0,7,17,0,0,0,5
Apex Systems,52,201,225301.0,1716525.0,4.942857142857143,5.441558441558442,2,1,2,1,35,77,6,8,11,15
System One,5,45,9497.0,129957.0,,9.0,0,0,0,0,0,18,0,0,0,1
Rose International,8,15,35069.0,87061.0,5.875,5.111111111111111,1,0,1,0,8,9,1,0,2,2
Talent Groups,15,31,9998.0,59616.0,7.142857142857143,6.0,0,0,0,0,7,12,0,0,2,3
Cisco,5,85,24774.0,662457.0,3.75,4.285714285714286,0,13,0,13,4,42,1,10,2,17
Oracle,19,47,119289.0,324182.0,4.428571428571429,5.208333333333333,0,0,0,0,14,24,3,1,5,4
"Softworld, a Kelly Company",7,6,19086.0,11788.0,5.0,4.666666666666667,0,0,0,0,7,3,0,0,1,0
General Motors,14,191,102751.0,1376484.0,5.916666666666667,5.655913978494624,1,10,1,10,12,93,1,9,2,17
Ford Motor Company,14,52,73580.0,325908.0,5.076923076923077,5.064516129032258,0,1,0,1,13,31,0,1,3,10
Photon,13,18,31706.0,40031.0,8.285714285714286,5.6,0,0,0,0,7,5,0,0,1,2
Ascendion,8,12,29522.0,49176.0,6.166666666666667,5.0,0,0,0,0,6,5,0,1,1,2
Robert Half,20,98,53551.0,308250.0,4.555555555555555,5.176470588235294,1,0,1,0,9,34,1,2,3,8
Microsoft,19,418,113362.0,2690826.0,3.263157894736842,3.6044444444444443,0,1,0,3,19,225,12,91,12,96
Collabera,14,26,14389.0,60317.0,5.8,5.555555555555555,0,0,0,0,10,9,0,0,2,2
Google,15,820,67534.0,3914826.0,6.0,4.393548387096774,0,10,0,11,15,465,4,203,4,209
Tech Consulting,6,13,22518.0,28132.0,1.8,1.3333333333333333,1,7,1,7,5,3,4,3,5,3
Jobot,12,97,29443.0,313686.0,6.125,4.533333333333333,1,3,1,3,8,45,1,8,2,14
Ampstek,6,40,6645.0,68253.0,8.5,7.666666666666667,0,0,0,0,6,9,0,0,0,0
BLUE ORIGIN,7,91,54816.0,790212.0,7.285714285714286,5.886363636363637,0,2,0,2,7,44,0,5,0,11
CACI International Inc,10,92,48901.0,539937.0,5.555555555555555,5.0,1,10,1,10,9,44,1,11,1,18
NLB Services,9,29,11022.0,58131.0,6.0,6.6,0,0,0,0,6,5,1,2,1,2
