metro,arshkon,asaniczka,scraped,arshkon_ge50,arshkon_ge100,scraped_ge50,scraped_ge100
Atlanta Metro,148,520,694,True,True,True,True
Austin Metro,99,310,732,True,False,True,True
Boston Metro,140,1036,969,True,True,True,True
Charlotte Metro,81,280,599,True,False,True,True
Chicago Metro,176,851,708,True,True,True,True
Columbus Metro,41,243,306,False,False,True,True
Dallas-Fort Worth Metro,272,758,1200,True,True,True,True
Denver Metro,84,592,474,True,False,True,True
Detroit Metro,67,391,364,True,False,True,True
Houston Metro,70,186,350,True,False,True,True
Los Angeles Metro,130,1051,938,True,True,True,True
Miami Metro,28,240,223,False,False,True,True
Minneapolis-Saint Paul,53,251,344,True,False,True,True
Nashville Metro,11,131,187,False,False,True,True
New York City Metro,13,89,1234,False,False,True,True
Philadelphia Metro,83,638,501,True,False,True,True
Phoenix Metro,85,341,368,True,False,True,True
Pittsburgh Metro,44,185,294,False,False,True,True
Portland Metro,14,163,156,False,False,True,True
Raleigh-Durham-Chapel Hill,51,258,365,True,False,True,True
Salt Lake City Metro,32,445,1056,False,False,True,True
San Diego Metro,57,280,348,True,False,True,True
San Francisco Bay Area,403,1831,3000,True,True,True,True
Seattle Metro,189,667,1433,True,True,True,True
Tampa Bay Metro,47,209,208,False,False,True,True
Washington DC Metro,298,2081,1606,True,True,True,True
